Sequence,scientific_name,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
7638.0,bradypterus alfredi,Locustellidae,Passeriformes,AVIBASE-A630DB2C,3,2,1,0,1,16.4,9.2,3.0,3.7,22.2,57.8,4.9,52.9,8.5,58.0,17.5,Dunning,,NO,,,Forest,2,1.0,Carnivore,Invertivore,Generalist,-12.27,9.67,-3.12,28.88,91453.25
7656.0,buettikoferella bivittata,Locustellidae,Passeriformes,AVIBASE-9C16D3E4,4,2,2,0,4,18.0,10.1,3.1,4.4,23.2,64.2,6.8,57.4,10.7,76.5,30.0,Updated_literature,Dunning (2021),NO,,,Forest,2,1.0,Carnivore,Invertivore,Generalist,-10.37,-8.33,-9.23,125.12,25788.08
7659.0,chaetornis striata,Locustellidae,Passeriformes,AVIBASE-F0EECB8B,5,2,3,0,4,15.2,7.8,3.7,5.1,27.3,83.0,16.1,66.1,19.4,84.6,31.5,Updated_literature,BoW,NO,,,Grassland,3,2.0,Carnivore,Invertivore,Generalist,18.92,33.58,26.04,82.08,653941.16
7601.0,locustella amnicola,Locustellidae,Passeriformes,AVIBASE-AD5B8488,0,0,0,0,0,20.5,11.6,3.2,4.3,25.5,75.5,18.4,57.1,24.4,66.0,26.1,Updated_literature,Dunning (2021),YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Locustella fasciolata,Shrubland,2,3.0,Carnivore,Invertivore,Insessorial,41.43,54.42,46.92,142.84,159311.77
7603.0,locustella certhiola,Locustellidae,Passeriformes,AVIBASE-4C3CF429,5,2,3,0,4,14.1,8.3,2.8,3.4,20.9,61.4,15.6,44.7,25.8,53.6,14.4,Dunning,,NO,,,Shrubland,2,3.0,Carnivore,Invertivore,Insessorial,35.7,66.07,53.41,108.49,12473259.06
7600.0,locustella fasciolata,Locustellidae,Passeriformes,AVIBASE-2F6F30EF,2,1,1,0,2,20.5,11.6,3.2,4.3,25.5,75.5,18.4,57.1,24.4,66.0,27.14,Dunning,,NO,,,Shrubland,2,3.0,Carnivore,Invertivore,Insessorial,42.81,59.1,53.4,114.97,3559627.54
7604.0,locustella ochotensis,Locustellidae,Passeriformes,AVIBASE-3200EE86,5,2,3,0,4,16.2,9.4,3.0,3.4,24.4,69.5,20.4,48.9,29.6,58.2,18.5,Dunning,,NO,,,Shrubland,3,3.0,Carnivore,Invertivore,Generalist,41.92,61.38,55.49,146.31,837155.24
7605.0,locustella pleskei,Locustellidae,Passeriformes,AVIBASE-4AADBF95,4,2,2,0,4,17.6,10.7,3.2,4.1,23.9,70.0,16.9,53.1,24.0,65.0,20.0,Updated_literature,BoW,NO,,,Wetland,3,2.0,Carnivore,Invertivore,Generalist,32.65,43.06,35.45,128.19,4130.25
7602.0,locustella pryeri,Locustellidae,Passeriformes,AVIBASE-0150666B,4,2,2,0,4,12.1,6.7,2.3,2.9,20.6,52.2,9.9,42.4,18.9,52.8,14.18,Dunning,,NO,,,Wetland,2,3.0,Carnivore,Invertivore,Insessorial,28.16,47.9,41.51,122.93,201150.62
7650.0,megalurulus grosvenori,Locustellidae,Passeriformes,AVIBASE-9B658528,1,1,0,0,1,20.0,11.5,4.3,4.5,31.4,67.5,10.0,57.5,14.8,56.6,54.0,EltonTraits_Model,,NO,,,,1,1.0,Carnivore,Invertivore,Terrestrial,-6.01,-5.11,-5.48,151.17,2381.31
7651.0,megalurulus llaneae,Locustellidae,Passeriformes,AVIBASE-62B8ED27,1,0,0,1,1,18.2,10.9,4.2,4.1,23.2,69.5,5.5,64.0,7.9,61.0,25.5,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,-6.32,-5.73,-6.03,155.18,814.06
7649.0,megalurulus mariae,Locustellidae,Passeriformes,AVIBASE-B67CE90E,5,2,3,0,4,18.2,9.9,3.2,4.1,24.7,69.0,9.0,58.8,13.2,93.4,25.0,Dunning,,NO,,,Shrubland,2,1.0,Carnivore,Invertivore,Terrestrial,-22.4,-20.09,-21.33,165.48,16389.77
7654.0,megalurulus rubiginosus,Locustellidae,Passeriformes,AVIBASE-AFE12556,2,2,0,0,2,19.7,10.3,3.8,4.2,28.2,71.8,5.9,65.8,8.2,75.0,41.2,Dunning,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,-6.31,-4.14,-5.48,150.64,33761.38
7655.0,megalurulus rufus,Locustellidae,Passeriformes,AVIBASE-B211BC0D,2,0,1,1,2,19.1,9.8,4.2,3.9,30.1,73.8,7.8,66.0,10.6,77.5,26.0,EltonTraits_Model,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,-18.28,-17.35,-17.87,178.0,8590.66
