avibase_id,species_birdlife,species_birdtree,family_birdlife,order_birdlife,family_birdtree,order_birdtree,beak_culmen_avg,beak_culmen_avg_m,beak_culmen_avg_f,beak_nares_avg,beak_nares_avg_m,beak_nares_avg_f,beak_width_avg,beak_width_avg_m,beak_width_avg_f,beak_depth_avg,beak_depth_avg_m,beak_depth_avg_f,tarsus_avg,tarsus_avg_m,tarsus_avg_f,wing_len_avg,wing_len_avg_m,wing_len_avg_f,kipps_avg,kipps_avg_m,kipps_avg_f,secondary_avg,secondary_avg_m,secondary_avg_f,hwi_avg,hwi_avg_m,hwi_avg_f,tail_avg,tail_avg_m,tail_avg_f,total_individuals,female_count,male_count,mass_avg,mass_source,inference,habitat,habitat_density,migration,trophic_level,trophic_niche,lifestyle,lat_min,lat_max,lat_centroid,lon_centroid,range_size
AVIBASE-4413633D,Acanthiza apicalis,Acanthiza_apicalis,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.01053,10.89091,11.17500,5.92500,6.20000,5.65000,2.17000,2.10000,2.27500,2.63000,2.66667,2.57500,18.98000,19.16000,18.80000,51.05000,52.54167,48.81250,7.15000,7.70000,6.60000,43.22500,44.80000,41.65000,14.17500,14.65000,13.70000,44.10000,43.83333,44.50000,20.00000,8.00000,12.00000,7.60000,Dunning,NO,Woodland,2.00000,1.00000,Carnivore,Invertivore,Insessorial,-36.00000,-16.78000,-27.63000,131.95000,4124270.80000
AVIBASE-B1B0E343,Acanthiza chrysorrhoa,Acanthiza_chrysorrhoa,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.70000,11.38750,12.20000,6.25000,6.55000,5.95000,2.13846,2.13750,2.14000,2.50000,2.51250,2.48000,18.01429,17.85000,18.08000,58.30769,59.00000,57.20000,9.10000,10.15000,8.05000,49.15000,49.35000,48.95000,15.57500,17.05000,14.10000,37.88462,36.87500,39.50000,13.00000,5.00000,8.00000,9.30000,Dunning,NO,Woodland,2.00000,1.00000,Carnivore,Invertivore,Terrestrial,-43.64000,-18.56000,-28.80000,136.41000,4590956.34000
AVIBASE-BCF9128E,Acanthiza cinerea,Gerygone_cinerea,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,10.58750,10.58750,12.64783,5.95000,5.95000,6.86055,2.58750,2.58750,2.79906,2.75000,2.75000,3.00631,19.22500,19.22500,19.16427,52.00000,52.00000,54.31947,10.05000,10.05000,7.88567,42.20000,42.20000,45.54725,19.22500,19.22500,14.75883,32.43750,32.43750,43.24856,8.00000,0.00000,8.00000,7.60000,Dunning,NO,Forest,1.00000,1.00000,Carnivore,Invertivore,Insessorial,-10.11000,-0.56000,-5.22000,141.57000,124509.89000
AVIBASE-14B92847,Acanthiza ewingii,Acanthiza_ewingii,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,10.70909,10.76000,11.13333,5.57500,6.60000,6.86055,1.94167,1.90000,2.03333,2.47500,2.38333,2.60000,21.47143,22.80000,21.16667,52.20833,52.66667,53.16667,8.27500,8.70000,7.88567,42.47500,43.30000,45.54725,16.30000,16.70000,14.75883,46.41667,43.08333,49.83333,12.00000,3.00000,6.00000,6.90000,Dunning,NO,Forest,2.00000,1.00000,Carnivore,Invertivore,Insessorial,-43.64000,-39.44000,-41.94000,146.59000,68050.51000
AVIBASE-6601168A,Acanthiza inornata,Acanthiza_inornata,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.30000,11.28333,11.32000,5.90000,6.05000,5.75000,2.27273,2.33333,2.20000,2.70909,2.65000,2.78000,17.26250,17.30000,17.24000,47.77273,48.83333,46.50000,6.02500,6.00000,6.05000,40.97500,41.00000,40.95000,12.82500,12.75000,12.90000,36.35000,35.90000,36.80000,11.00000,5.00000,6.00000,7.00000,Dunning,NO,Woodland,2.00000,1.00000,Carnivore,Invertivore,Insessorial,-35.19000,-29.16000,-32.67000,116.74000,137406.16000
AVIBASE-D6ACB361,Acanthiza iredalei,Acanthiza_iredalei,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,9.15385,8.92500,9.52000,4.85000,4.80000,4.90000,1.96154,1.92500,2.02000,2.32308,2.32500,2.32000,17.36250,18.00000,16.98000,48.42308,49.25000,47.10000,7.20000,6.95000,7.45000,39.80000,41.05000,38.55000,15.35000,14.50000,16.20000,39.26923,39.06250,39.60000,13.00000,5.00000,8.00000,6.00000,Dunning,NO,Shrubland,2.00000,1.00000,Carnivore,Invertivore,Generalist,-38.86000,-24.06000,-31.22000,128.95000,987131.55000
AVIBASE-E60E9E28,Acanthiza katherina,Acanthiza_katherina,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.50000,11.77500,11.50000,5.75000,5.80000,6.86055,2.38571,2.30000,2.55000,2.62857,2.62500,2.60000,18.10000,18.60000,18.35000,52.07143,54.12500,49.00000,9.10000,9.40000,7.88567,42.65000,44.10000,45.54725,17.60000,17.60000,14.75883,41.07143,39.37500,42.25000,7.00000,2.00000,4.00000,7.20000,Dunning,NO,Forest,1.00000,1.00000,Carnivore,Invertivore,Insessorial,-19.07000,-15.76000,-17.76000,144.85000,58196.09000
AVIBASE-D0A0845A,Acanthiza lineata,Acanthiza_lineata,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,9.87895,9.78000,9.98889,4.97500,5.10000,4.93333,2.07368,2.02000,2.13333,2.77368,2.73000,2.82222,17.06154,17.02500,17.07778,51.47368,52.15000,50.72222,9.42500,10.20000,9.16667,39.95000,41.80000,39.33333,19.12500,19.60000,18.96667,37.94737,37.10000,38.88889,19.00000,9.00000,10.00000,6.90000,Dunning,NO,Forest,2.00000,1.00000,Omnivore,Invertivore,Insessorial,-39.24000,-23.09000,-32.16000,147.50000,1043817.35000
AVIBASE-87E8A565,Acanthiza murina,Acanthiza_murina,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.40000,11.42500,11.35000,6.04000,5.96667,6.15000,2.43333,2.50000,2.30000,2.93333,2.97500,2.85000,17.88000,17.73333,18.10000,57.08333,57.62500,56.00000,12.74000,13.23333,12.00000,43.96000,43.93333,44.00000,22.52000,23.16667,21.55000,35.00000,33.33333,37.50000,6.00000,2.00000,4.00000,8.40000,Dunning,NO,Forest,1.00000,1.00000,Carnivore,Invertivore,Insessorial,-9.63000,-3.38000,-5.39000,141.94000,83142.29000
AVIBASE-D6D77AFA,Acanthiza nana,Acanthiza_nana,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,10.02632,9.98182,10.08750,5.20000,5.40000,5.00000,2.09474,2.10000,2.08750,2.70000,2.69091,2.71250,17.19231,17.38000,17.07500,49.07895,49.72727,48.18750,8.82500,8.25000,9.40000,40.80000,42.75000,38.85000,17.82500,16.15000,19.50000,36.81579,36.45455,37.31250,19.00000,8.00000,11.00000,6.20000,Dunning,NO,Shrubland,2.00000,1.00000,Carnivore,Invertivore,Insessorial,-39.14000,-15.68000,-29.95000,146.15000,2021416.13000
AVIBASE-8F6C8E9E,Acanthiza pusilla,Acanthiza_pusilla,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.21176,11.21667,11.20000,5.30000,5.55000,5.05000,2.05294,2.03333,2.10000,2.58235,2.65000,2.42000,18.71000,19.00000,18.42000,51.76471,52.16667,50.80000,7.60000,8.90000,6.30000,44.15000,44.60000,43.70000,14.60000,16.60000,12.60000,43.37500,43.04545,44.10000,17.00000,5.00000,12.00000,7.60000,Dunning,NO,Shrubland,2.00000,1.00000,Carnivore,Invertivore,Insessorial,-43.64000,-20.00000,-32.24000,147.72000,1131818.69000
AVIBASE-7B1144C8,Acanthiza reguloides,Acanthiza_reguloides,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,11.03750,11.16250,10.91250,5.97500,5.85000,6.10000,2.15625,2.21250,2.10000,2.58750,2.62500,2.55000,16.69231,16.86667,16.54286,51.96875,52.75000,51.18750,7.27500,7.40000,7.15000,44.72500,45.10000,44.35000,13.97500,14.10000,13.85000,38.93750,39.18750,38.68750,16.00000,8.00000,8.00000,7.70000,Dunning,NO,Forest,2.00000,1.00000,Carnivore,Invertivore,Insessorial,-39.14000,-15.80000,-29.59000,146.67000,1843422.30000
AVIBASE-4D64891A,Acanthiza robustirostris,Acanthiza_robustirostris,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,9.89000,9.82000,9.96000,5.10000,5.05000,5.15000,2.33000,2.14000,2.52000,2.73000,2.76000,2.70000,19.08571,19.10000,19.08000,50.80000,51.80000,49.80000,7.62500,7.80000,7.45000,42.75000,42.70000,42.80000,15.15000,15.45000,14.85000,40.20000,39.70000,40.70000,10.00000,5.00000,5.00000,6.10000,Dunning,NO,Woodland,2.00000,2.00000,Carnivore,Invertivore,Insessorial,-30.40000,-19.66000,-25.85000,127.45000,2061848.42000
AVIBASE-27F7E242,Acanthiza uropygialis,Acanthiza_uropygialis,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,10.16667,10.21429,10.10000,5.35000,5.50000,5.20000,2.05000,2.12857,1.94000,2.30833,2.38571,2.20000,18.01429,18.05000,18.00000,51.79167,52.42857,50.90000,7.87500,7.45000,8.30000,44.62500,44.55000,44.70000,14.97500,14.30000,15.65000,38.33333,38.21429,38.50000,12.00000,5.00000,7.00000,6.40000,Dunning,NO,Woodland,2.00000,1.00000,Carnivore,Invertivore,Insessorial,-38.05000,-19.82000,-28.24000,134.00000,4788831.67000
AVIBASE-9295CC66,Acanthoptila nipalensis,Turdoides_nipalensis,Leiotrichidae,Passeriformes,Timaliidae,Passeriformes,23.60000,23.10840,22.95000,14.17500,13.29269,14.40000,4.50000,4.87860,4.70000,6.30000,6.40795,6.20000,29.72000,33.94516,29.45000,82.20000,100.21497,80.50000,4.70000,9.12940,2.70000,77.80000,90.96427,77.30000,5.70000,9.23653,3.40000,112.60000,109.53068,115.00000,5.00000,2.00000,0.00000,61.00000,Dunning,NO,Shrubland,2.00000,1.00000,Carnivore,Invertivore,Terrestrial,26.83000,29.77000,28.38000,83.40000,28765.27000
AVIBASE-C5ACCD75,Acanthorhynchus superciliosus,Acanthorhynchus_superciliosus,Meliphagidae,Passeriformes,Meliphagidae,Passeriformes,23.55385,24.52222,21.37500,15.50000,17.35000,13.65000,2.25385,2.35556,2.02500,2.77692,2.94444,2.40000,19.90000,19.76667,20.10000,61.26923,62.77778,57.87500,9.45000,9.60000,9.30000,50.05000,49.90000,50.20000,15.87500,16.15000,15.60000,54.34615,55.33333,52.12500,13.00000,4.00000,9.00000,9.70000,Dunning,NO,Shrubland,2.00000,1.00000,Herbivore,Nectarivore,Insessorial,-35.14000,-28.90000,-32.88000,117.85000,182218.54000
AVIBASE-A542D690,Acanthorhynchus tenuirostris,Acanthorhynchus_tenuirostris,Meliphagidae,Passeriformes,Meliphagidae,Passeriformes,26.77500,27.39167,25.56667,18.92500,18.85000,12.46906,2.26000,2.26667,2.23333,2.73500,2.85833,2.56667,18.03636,18.53333,17.36667,65.60000,67.16667,62.16667,14.15000,14.80000,17.47379,54.60000,56.20000,70.93942,20.57500,20.85000,19.54723,57.12500,58.08333,53.58333,20.00000,6.00000,12.00000,10.40000,Dunning,NO,Forest,2.00000,1.00000,Omnivore,Nectarivore,Insessorial,-43.64000,-15.00000,-33.06000,147.62000,763502.74000
AVIBASE-69825DA0,Acanthornis magna,Acanthornis_magna,Acanthizidae,Passeriformes,Acanthizidae,Passeriformes,15.23000,15.37143,15.20000,8.37500,8.60000,8.30000,2.30000,2.21429,2.40000,2.90000,2.91429,2.60000,21.91667,22.46667,22.05000,56.00000,56.64286,53.75000,9.17500,7.95000,8.90000,46.07500,48.05000,44.10000,16.62500,14.20000,16.80000,47.95000,47.85714,48.25000,10.00000,2.00000,7.00000,10.20000,Dunning,NO,Forest,1.00000,1.00000,Carnivore,Invertivore,Generalist,-43.64000,-39.58000,-41.92000,146.39000,45032.53000
AVIBASE-BBB59880,Accipiter albogularis,Accipiter_albogularis,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,27.70000,38.52521,26.10000,17.75000,23.49087,17.50000,10.56000,12.63632,9.75000,14.74000,18.13257,13.85000,62.02000,72.38423,59.55000,235.20000,362.11400,224.50000,81.75000,132.44010,83.00000,159.50000,230.85952,155.00000,33.87500,35.55379,34.90000,169.00000,214.19614,165.50000,5.00000,2.00000,0.00000,248.80000,Dunning,NO,Forest,1.00000,2.00000,Carnivore,Vertivore,Insessorial,-11.73000,-4.02000,-8.15000,158.49000,37461.21000
AVIBASE-1A0ECB6E,Accipiter badius,Accipiter_badius,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,20.62000,20.05000,21.47500,12.08750,11.57500,12.60000,8.75000,8.55000,9.05000,11.61000,10.93333,12.62500,43.01000,40.88333,46.20000,186.65000,177.66667,200.12500,62.52500,60.27500,64.77500,127.41250,119.47500,135.35000,32.93750,33.47500,32.40000,140.60000,132.83333,152.25000,10.00000,4.00000,6.00000,131.20000,Dunning,NO,Shrubland,2.00000,3.00000,Carnivore,Vertivore,Insessorial,-29.47000,46.39000,8.23000,44.98000,22374973.00000
AVIBASE-ADBE44E1,Accipiter bicolor,Accipiter_bicolor,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,25.02727,24.48000,24.85000,13.70000,11.63333,14.40000,8.59000,7.58000,9.16667,12.72727,12.02000,12.92500,58.09091,56.28000,59.80000,229.63636,214.60000,241.25000,56.55556,58.16667,60.52500,174.78889,151.50000,180.75000,24.58889,27.73333,25.07500,186.31818,171.70000,197.50000,11.00000,4.00000,5.00000,287.50000,Dunning,NO,Woodland,2.00000,2.00000,Carnivore,Vertivore,Generalist,-55.72000,23.73000,-10.10000,-59.96000,14309701.27000
AVIBASE-68BF920B,Accipiter brachyurus,Accipiter_brachyurus,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,22.52500,38.52521,22.52500,13.97500,23.49087,13.97500,8.87500,12.63632,8.87500,11.92500,18.13257,11.92500,61.25000,72.38423,61.25000,202.20000,362.11400,202.20000,64.13333,132.44010,64.13333,138.06667,230.85952,138.06667,31.70000,35.55379,31.70000,140.82500,214.19614,140.82500,4.00000,4.00000,0.00000,142.00000,Dunning,NO,Forest,1.00000,2.00000,Carnivore,Vertivore,Insessorial,-6.31000,-4.08000,-5.45000,150.68000,35580.71000
AVIBASE-8492E4B7,Accipiter brevipes,Accipiter_brevipes,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,21.07500,19.70000,22.45000,12.12500,11.05000,13.20000,8.72500,7.85000,9.60000,11.12500,11.00000,11.25000,46.37500,45.10000,47.65000,217.62500,215.25000,220.00000,87.75000,86.50000,89.00000,129.87500,128.75000,131.00000,40.22500,40.10000,40.35000,153.50000,142.50000,164.50000,8.00000,4.00000,4.00000,186.50000,Dunning,NO,Forest,1.00000,3.00000,Carnivore,Vertivore,Generalist,31.19000,55.86000,45.24000,45.33000,2936751.80000
AVIBASE-6B64C150,Accipiter butleri,Accipiter_butleri,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,20.00000,20.00000,40.58307,11.90000,11.90000,24.90054,6.60000,6.60000,13.23614,12.00000,12.00000,18.97234,48.70000,48.70000,73.33266,166.00000,166.00000,377.40741,42.90000,42.90000,137.54856,123.10000,123.10000,240.30351,25.80000,25.80000,35.54203,127.00000,127.00000,219.73246,1.00000,0.00000,1.00000,122.00000,Updated_literature,NO,Forest,1.00000,1.00000,Carnivore,Vertivore,Insessorial,7.87000,9.26000,8.42000,93.17000,327.84000
