avibase_id,species_latin_key,species_english,species_birdlife,species_ioc,species_ebird,species_avilist,order,family_ioc,family_clements,family_birdlife,family_avilist,genus
AVIBASE-184A6A8E,Cyanistes cyanus,Azure Tit,Cyanistes cyanus,Cyanistes cyanus,Cyanistes cyanus,Cyanistes cyanus,Passeriformes,Paridae,Paridae,Paridae,Paridae,Cyanistes
AVIBASE-184BA213,Apalis chariessa,White-winged Apalis,Apalis chariessa,Apalis chariessa,Apalis chariessa,Apalis chariessa,Passeriformes,Cisticolidae,Cisticolidae,Cisticolidae,Cisticolidae,Apalis
AVIBASE-184D2329,Anser erythropus,Lesser White-fronted Goose,Anser erythropus,Anser erythropus,Anser erythropus,Anser erythropus,Anseriformes,Anatidae,Anatidae,Anatidae,Anatidae,Anser
AVIBASE-1850B440,Phoenicurus fuliginosus,Plumbeous Water-redstart,Phoenicurus fuliginosus,Phoenicurus fuliginosus,Phoenicurus fuliginosus,Phoenicurus fuliginosus,Passeriformes,Muscicapidae,Muscicapidae,Muscicapidae,Muscicapidae,Phoenicurus
AVIBASE-1866F80E,Emberiza pusilla,Little Bunting,Emberiza pusilla,Emberiza pusilla,Emberiza pusilla,Emberiza pusilla,Passeriformes,Emberizidae,Emberizidae,Emberizidae,Emberizidae,Emberiza
AVIBASE-18671DC1,Grallaria carrikeri,Pale-billed Antpitta,Grallaria carrikeri,Grallaria carrikeri,Grallaria carrikeri,Grallaria carrikeri,Passeriformes,Grallariidae,Grallariidae,Grallariidae,Grallariidae,Grallaria
AVIBASE-186AE936,Tangara mexicana,Turquoise Tanager,Tangara mexicana,Tangara mexicana,Tangara mexicana,Tangara mexicana,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Tangara
AVIBASE-187706CF,Apteryx owenii,Little Spotted Kiwi,Apteryx owenii,Apteryx owenii,Apteryx owenii,Apteryx owenii,Apterygiformes,Apterygidae,Apterygidae,Apterygidae,Apterygidae,Apteryx
AVIBASE-187B9AAD,Platyrinchus albogularis,Western White-throated Spadebill,Platyrinchus albogularis,MISSING,MISSING,MISSING,Passeriformes,MISSING,MISSING,Tyrannidae,MISSING,Platyrinchus
AVIBASE-187C3E24,Symposiachrus verticalis,Black-tailed Monarch,Symposiachrus verticalis,Symposiachrus verticalis,Symposiachrus verticalis,Symposiachrus verticalis,Passeriformes,Monarchidae,Monarchidae,Monarchidae,Monarchidae,Symposiachrus
AVIBASE-1884A2A5,Cettia castaneocoronata,Chestnut-headed Tesia,Cettia castaneocoronata,Cettia castaneocoronata,Cettia castaneocoronata,Cettia castaneocoronata,Passeriformes,Cettiidae,Scotocercidae,Scotocercidae,Cettiidae,Cettia
AVIBASE-1884ACC6,Carpodacus sipahi,Scarlet Finch,Carpodacus sipahi,Carpodacus sipahi,Carpodacus sipahi,Carpodacus sipahi,Passeriformes,Fringillidae,Fringillidae,Fringillidae,Fringillidae,Carpodacus
AVIBASE-1891E2C4,Tachyeres pteneres,Magellanic Steamerduck,Tachyeres pteneres,Tachyeres pteneres,Tachyeres pteneres,Tachyeres pteneres,Anseriformes,Anatidae,Anatidae,Anatidae,Anatidae,Tachyeres
AVIBASE-189CA0ED,Phacellodomus rufifrons,Rufous-fronted Thornbird,Phacellodomus rufifrons,Phacellodomus rufifrons,Phacellodomus rufifrons,Phacellodomus rufifrons,Passeriformes,Furnariidae,Furnariidae,Furnariidae,Furnariidae,Phacellodomus
AVIBASE-18A19380,Phalaropus fulicarius,Red Phalarope,Phalaropus fulicarius,Phalaropus fulicarius,Phalaropus fulicarius,Phalaropus fulicarius,Charadriiformes,Scolopacidae,Scolopacidae,Scolopacidae,Scolopacidae,Phalaropus
AVIBASE-18A38979,Oedistoma pygmaeum,Pygmy Longbill,Oedistoma pygmaeum,Oedistoma pygmaeum,Oedistoma pygmaeum,Oedistoma pygmaeum,Passeriformes,Melanocharitidae,Melanocharitidae,Melanocharitidae,Melanocharitidae,Oedistoma
AVIBASE-18A968DB,Megabyas flammulatus,African Shrike-flycatcher,Megabyas flammulatus,Megabyas flammulatus,Megabyas flammulatus,Megabyas flammulatus,Passeriformes,Vangidae,Vangidae,Vangidae,Vangidae,Megabyas
AVIBASE-18AEC353,Ara ararauna,Blue-and-yellow Macaw,Ara ararauna,Ara ararauna,Ara ararauna,Ara ararauna,Psittaciformes,Psittacidae,Psittacidae,Psittacidae,Psittacidae,Ara
AVIBASE-18B10CF9,Lamprotornis splendidus,Splendid Starling,Lamprotornis splendidus,Lamprotornis splendidus,Lamprotornis splendidus,Lamprotornis splendidus,Passeriformes,Sturnidae,Sturnidae,Sturnidae,Sturnidae,Lamprotornis
AVIBASE-18B415D2,Tringa nebularia,Common Greenshank,Tringa nebularia,Tringa nebularia,Tringa nebularia,Tringa nebularia,Charadriiformes,Scolopacidae,Scolopacidae,Scolopacidae,Scolopacidae,Tringa
AVIBASE-18B418AB,Argya caudata,Common Babbler,Argya caudata,Argya caudata,Argya caudata,Argya caudata,Passeriformes,Leiothrichidae,Leiothrichidae,Leiotrichidae,Leiothrichidae,Argya
AVIBASE-18B4CE02,Accipiter haplochrous,White-bellied Goshawk,Accipiter haplochrous,Tachyspiza haplochroa,Tachyspiza haplochroa,Tachyspiza haplochrous,Accipitriformes,Accipitridae,Accipitridae,Accipitridae,Accipitridae,Accipiter
AVIBASE-18B6E8CF,Todiramphus reichenbachii,Pohnpei Kingfisher,Todiramphus reichenbachii,Todiramphus reichenbachii,Todiramphus reichenbachii,Todiramphus reichenbachii,Coraciiformes,Alcedinidae,Alcedinidae,Alcedinidae,Alcedinidae,Todiramphus
AVIBASE-18B92473,Geospizopsis plebejus,Ash-breasted Sierra-finch,Geospizopsis plebejus,Geospizopsis plebejus,Geospizopsis plebejus,Geospizopsis plebejus,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Geospizopsis
AVIBASE-18C02E15,Asthenes flammulata,Many-striped Canastero,Asthenes flammulata,Asthenes flammulata,Asthenes flammulata,Asthenes flammulata,Passeriformes,Furnariidae,Furnariidae,Furnariidae,Furnariidae,Asthenes
AVIBASE-18C1675B,Cantorchilus superciliaris,Superciliated Wren,Cantorchilus superciliaris,Cantorchilus superciliaris,Cantorchilus superciliaris,Cantorchilus superciliaris,Passeriformes,Troglodytidae,Troglodytidae,Troglodytidae,Troglodytidae,Cantorchilus
AVIBASE-18C4B783,Ducula rufigaster,Purple-tailed Imperial-pigeon,Ducula rufigaster,Ducula rufigaster,Ducula rufigaster,Ducula rufigaster,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Ducula
AVIBASE-18CB2D8A,Hylophilus pectoralis,Ashy-headed Greenlet,Hylophilus pectoralis,Hylophilus pectoralis,Hylophilus pectoralis,Hylophilus pectoralis,Passeriformes,Vireonidae,Vireonidae,Vireonidae,Vireonidae,Hylophilus
AVIBASE-18D09F79,Myrtis fanny,Purple-collared Woodstar,Myrtis fanny,Myrtis fanny,Myrtis fanny,Myrtis fanny,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Myrtis
AVIBASE-18D14B20,Chordeiles rupestris,Sand-colored Nighthawk,Chordeiles rupestris,Chordeiles rupestris,Chordeiles rupestris,Chordeiles rupestris,Caprimulgiformes,Caprimulgidae,Caprimulgidae,Caprimulgidae,Caprimulgidae,Chordeiles
AVIBASE-18D2C42A,Pyrrhocorax pyrrhocorax,Red-billed Chough,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,Passeriformes,Corvidae,Corvidae,Corvidae,Corvidae,Pyrrhocorax
AVIBASE-18D3C762,Prunella rubida,Japanese Accentor,Prunella rubida,Prunella rubida,Prunella rubida,Prunella rubida,Passeriformes,Prunellidae,Prunellidae,Prunellidae,Prunellidae,Prunella
AVIBASE-18D4C1C6,Terpsiphone floris,Nusa Tenggara Paradise-flycatcher,Terpsiphone floris,Terpsiphone floris,Terpsiphone floris,Terpsiphone floris,Passeriformes,Monarchidae,Monarchidae,Monarchidae,Monarchidae,Terpsiphone
AVIBASE-18E59ACC,Grallaria hypoleuca,White-bellied Antpitta,Grallaria hypoleuca,Grallaria hypoleuca,Grallaria hypoleuca,Grallaria hypoleuca,Passeriformes,Grallariidae,Grallariidae,Grallariidae,Grallariidae,Grallaria
AVIBASE-18E79DA7,Hydrochous gigas,Waterfall Swift,Hydrochous gigas,Hydrochous gigas,Hydrochous gigas,Hydrochous gigas,Caprimulgiformes,Apodidae,Apodidae,Apodidae,Apodidae,Hydrochous
AVIBASE-18E871A3,Spelaeornis caudatus,Rufous-throated Wren-babbler,Spelaeornis caudatus,Spelaeornis caudatus,Spelaeornis caudatus,Spelaeornis caudatus,Passeriformes,Timaliidae,Timaliidae,Timaliidae,Timaliidae,Spelaeornis
AVIBASE-18ED7458,Elminia albonotata,White-tailed Crested-flycatcher,Elminia albonotata,Elminia albonotata,Elminia albonotata,Elminia albonotata,Passeriformes,Stenostiridae,Stenostiridae,Stenostiridae,Stenostiridae,Elminia
AVIBASE-19031FF7,Perdicula manipurensis,Manipur Bush-quail,Perdicula manipurensis,Perdicula manipurensis,Perdicula manipurensis,Perdicula manipurensis,Galliformes,Phasianidae,Phasianidae,Phasianidae,Phasianidae,Perdicula
AVIBASE-19033BD5,Perisoreus internigrans,Sichuan Jay,Perisoreus internigrans,Perisoreus internigrans,Perisoreus internigrans,Perisoreus internigrans,Passeriformes,Corvidae,Corvidae,Corvidae,Corvidae,Perisoreus
AVIBASE-19039B03,Eubucco glaucogularis,Blue-chinned Barbet,Eubucco glaucogularis,MISSING,MISSING,MISSING,Piciformes,MISSING,MISSING,Capitonidae,MISSING,Eubucco
AVIBASE-19196211,Mycteria americana,Wood Stork,Mycteria americana,Mycteria americana,Mycteria americana,Mycteria americana,Ciconiiformes,Ciconiidae,Ciconiidae,Ciconiidae,Ciconiidae,Mycteria
AVIBASE-191B68BC,Serinus canaria,Island Canary,Serinus canaria,Serinus canaria,Serinus canaria,Serinus canaria,Passeriformes,Fringillidae,Fringillidae,Fringillidae,Fringillidae,Serinus
AVIBASE-191C56A7,Sphecotheres hypoleucus,Wetar Figbird,Sphecotheres hypoleucus,Sphecotheres hypoleucus,Sphecotheres hypoleucus,Sphecotheres hypoleucus,Passeriformes,Oriolidae,Oriolidae,Oriolidae,Oriolidae,Sphecotheres
AVIBASE-191F838F,Ensifera ensifera,Sword-billed Hummingbird,Ensifera ensifera,Ensifera ensifera,Ensifera ensifera,Ensifera ensifera,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Ensifera
AVIBASE-19268395,Chalcites lucidus,Shining Bronze-cuckoo,Chalcites lucidus,Chalcites lucidus,Chalcites lucidus,Chalcites lucidus,Cuculiformes,Cuculidae,Cuculidae,Cuculidae,Cuculidae,Chalcites
AVIBASE-1928C4DD,Erythrogenys hypoleucos,Large Scimitar-babbler,Erythrogenys hypoleucos,Erythrogenys hypoleucos,Erythrogenys hypoleucos,Erythrogenys hypoleucos,Passeriformes,Timaliidae,Timaliidae,Timaliidae,Timaliidae,Erythrogenys
AVIBASE-1929E1E1,Aythya valisineria,Canvasback,Aythya valisineria,Aythya valisineria,Aythya valisineria,Aythya valisineria,Anseriformes,Anatidae,Anatidae,Anatidae,Anatidae,Aythya
AVIBASE-192FC14D,Ciccaba virgata,Mottled Owl,Ciccaba virgata,Strix virgata,Strix virgata,Strix virgata,Strigiformes,Strigidae,Strigidae,Strigidae,Strigidae,Ciccaba
AVIBASE-1937A3C8,Cyornis glaucicomans,Chinese Blue Flycatcher,Cyornis glaucicomans,Cyornis glaucicomans,Cyornis glaucicomans,Cyornis glaucicomans,Passeriformes,Muscicapidae,Muscicapidae,Muscicapidae,Muscicapidae,Cyornis
AVIBASE-19420218,Xenicus gilviventris,New Zealand Rockwren,Xenicus gilviventris,Xenicus gilviventris,Xenicus gilviventris,Xenicus gilviventris,Passeriformes,Acanthisittidae,Acanthisittidae,Acanthisittidae,Acanthisittidae,Xenicus
AVIBASE-19469B66,Zosterops virens,Cape White-eye,Zosterops virens,Zosterops virens,Zosterops virens,Zosterops virens,Passeriformes,Zosteropidae,Zosteropidae,Zosteropidae,Zosteropidae,Zosterops
AVIBASE-19469DE7,Piezorina cinerea,Cinereous Finch,Piezorina cinerea,Piezorina cinerea,Piezorina cinerea,Piezorina cinerea,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Piezorina
AVIBASE-19489268,Anthus sokokensis,Sokoke Pipit,Anthus sokokensis,Anthus sokokensis,Anthus sokokensis,Anthus sokokensis,Passeriformes,Motacillidae,Motacillidae,Motacillidae,Motacillidae,Anthus
AVIBASE-196347A3,Sphecotheres viridis,Timor Figbird,Sphecotheres viridis,Sphecotheres viridis,Sphecotheres viridis,Sphecotheres viridis,Passeriformes,Oriolidae,Oriolidae,Oriolidae,Oriolidae,Sphecotheres
AVIBASE-19784EAF,Dives dives,Melodious Blackbird,Dives dives,Dives dives,Dives dives,Dives dives,Passeriformes,Icteridae,Icteridae,Icteridae,Icteridae,Dives
AVIBASE-198120BB,Puffinus persicus,Persian Shearwater,Puffinus persicus,Puffinus persicus,Puffinus persicus,Puffinus persicus,Procellariiformes,Procellariidae,Procellariidae,Procellariidae,Procellariidae,Puffinus
AVIBASE-19814090,Cranioleuca albicapilla,Creamy-crested Spinetail,Cranioleuca albicapilla,Cranioleuca albicapilla,Cranioleuca albicapilla,Cranioleuca albicapilla,Passeriformes,Furnariidae,Furnariidae,Furnariidae,Furnariidae,Cranioleuca
AVIBASE-19829A58,Tangara seledon,Green-headed Tanager,Tangara seledon,Tangara seledon,Tangara seledon,Tangara seledon,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Tangara
AVIBASE-1986F1AB,Glaucidium radiatum,Jungle Owlet,Glaucidium radiatum,Glaucidium radiatum,Glaucidium radiatum,Glaucidium radiatum,Strigiformes,Strigidae,Strigidae,Strigidae,Strigidae,Glaucidium
AVIBASE-1987669E,Chiroxiphia lanceolata,Lance-tailed Manakin,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Passeriformes,Pipridae,Pipridae,Pipridae,Pipridae,Chiroxiphia
AVIBASE-198CCE88,Coracina boyeri,Boyer's Cuckooshrike,Coracina boyeri,Coracina boyeri,Coracina boyeri,Coracina boyeri,Passeriformes,Campephagidae,Campephagidae,Campephagidae,Campephagidae,Coracina
AVIBASE-198D7ADC,Geositta maritima,Greyish Miner,Geositta maritima,Geositta maritima,Geositta maritima,Geositta maritima,Passeriformes,Furnariidae,Furnariidae,Furnariidae,Furnariidae,Geositta
AVIBASE-198F8B56,Eutoxeres condamini,Buff-tailed Sicklebill,Eutoxeres condamini,Eutoxeres condamini,Eutoxeres condamini,Eutoxeres condamini,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eutoxeres
AVIBASE-199B6280,Heterotetrax vigorsii,Karoo Bustard,Heterotetrax vigorsii,Heterotetrax vigorsii,Heterotetrax vigorsii,Heterotetrax vigorsii,Otidiformes,Otididae,Otididae,Otididae,Otididae,Heterotetrax
AVIBASE-199C4CCF,Glaucidium minutissimum,Least Pygmy-owl,Glaucidium minutissimum,Glaucidium minutissimum,Glaucidium minutissimum,Glaucidium minutissimum,Strigiformes,Strigidae,Strigidae,Strigidae,Strigidae,Glaucidium
AVIBASE-19A9FCEC,Metallura phoebe,Black Metaltail,Metallura phoebe,Metallura phoebe,Metallura phoebe,Metallura phoebe,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Metallura
AVIBASE-19ABB1C4,Zosterops griseovirescens,Annobon White-eye,Zosterops griseovirescens,Zosterops griseovirescens,Zosterops griseovirescens,Zosterops griseovirescens,Passeriformes,Zosteropidae,Zosteropidae,Zosteropidae,Zosteropidae,Zosterops
AVIBASE-19ADEF8A,Oenanthe frenata,Rusty-breasted Wheatear,Oenanthe frenata,Oenanthe frenata,Oenanthe frenata,Oenanthe frenata,Passeriformes,Muscicapidae,Muscicapidae,Muscicapidae,Muscicapidae,Oenanthe
AVIBASE-19B31413,Zosterops tenuirostris,Slender-billed White-eye,Zosterops tenuirostris,Zosterops tenuirostris,Zosterops tenuirostris,Zosterops tenuirostris,Passeriformes,Zosteropidae,Zosteropidae,Zosteropidae,Zosteropidae,Zosterops
AVIBASE-19B4343A,Catamenia analis,Band-tailed Seedeater,Catamenia analis,Catamenia analis,Catamenia analis,Catamenia analis,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Catamenia
AVIBASE-19BA6768,Sporophila albogularis,White-throated Seedeater,Sporophila albogularis,Sporophila albogularis,Sporophila albogularis,Sporophila albogularis,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Sporophila
AVIBASE-19BFB346,Columbina buckleyi,Ecuadorian Ground Dove,Columbina buckleyi,Columbina buckleyi,Columbina buckleyi,Columbina buckleyi,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Columbina
AVIBASE-19C021C4,Pachycephala sulfuriventer,Sulphur-bellied Whistler,Pachycephala sulfuriventer,Pachycephala sulfuriventer,Pachycephala sulfuriventer,Pachycephala sulfuriventer,Passeriformes,Pachycephalidae,Pachycephalidae,Pachycephalidae,Pachycephalidae,Pachycephala
AVIBASE-19C28D92,Pelargopsis amauroptera,Brown-winged Kingfisher,Pelargopsis amauroptera,Pelargopsis amauroptera,Pelargopsis amauroptera,Pelargopsis amauroptera,Coraciiformes,Alcedinidae,Alcedinidae,Alcedinidae,Alcedinidae,Pelargopsis
AVIBASE-19C9112F,Atlapetes flaviceps,Yellow-headed Brushfinch,Atlapetes flaviceps,Atlapetes flaviceps,Atlapetes flaviceps,Atlapetes flaviceps,Passeriformes,Passerellidae,Passerellidae,Passerellidae,Passerellidae,Atlapetes
AVIBASE-19CB1D6A,Clytorhynchus nigrogularis,Black-throated Shrikebill,Clytorhynchus nigrogularis,Clytorhynchus nigrogularis,Clytorhynchus nigrogularis,Clytorhynchus nigrogularis,Passeriformes,Monarchidae,Monarchidae,Monarchidae,Monarchidae,Clytorhynchus
AVIBASE-19CC72C9,Tangara labradorides,Metallic-green Tanager,Tangara labradorides,Tangara labradorides,Tangara labradorides,Tangara labradorides,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Tangara
AVIBASE-19CCBBD2,Sitta carolinensis,White-breasted Nuthatch,Sitta carolinensis,Sitta carolinensis,Sitta carolinensis,Sitta carolinensis,Passeriformes,Sittidae,Sittidae,Sittidae,Sittidae,Sitta
AVIBASE-19CE1F0F,Notharchus macrorhynchos,Guianan Puffbird,Notharchus macrorhynchos,Notharchus macrorhynchos,Notharchus macrorhynchos,Notharchus macrorhynchos,Piciformes,Bucconidae,Bucconidae,Bucconidae,Bucconidae,Notharchus
AVIBASE-19D03376,Synallaxis cinerea,Bahia Spinetail,Synallaxis cinerea,Synallaxis cinerea,Synallaxis cinerea,Synallaxis cinerea,Passeriformes,Furnariidae,Furnariidae,Furnariidae,Furnariidae,Synallaxis
AVIBASE-19D053B3,Ploceus melanocephalus,Black-headed Weaver,Ploceus melanocephalus,Ploceus melanocephalus,Ploceus melanocephalus,Ploceus melanocephalus,Passeriformes,Ploceidae,Ploceidae,Ploceidae,Ploceidae,Ploceus
AVIBASE-19D5681E,Pitta superba,Superb Pitta,Pitta superba,Pitta superba,Pitta superba,Pitta superba,Passeriformes,Pittidae,Pittidae,Pittidae,Pittidae,Pitta
AVIBASE-19D5AECF,Microspingus torquatus,Ringed Warbling-finch,Microspingus torquatus,Microspingus torquatus,Microspingus torquatus,Microspingus torquatus,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Microspingus
AVIBASE-19FA27ED,Hypotaenidia torquata,Barred Rail,Hypotaenidia torquata,Hypotaenidia torquata,Gallirallus torquatus,Gallirallus torquatus,Gruiformes,Rallidae,Rallidae,Rallidae,Rallidae,Hypotaenidia
AVIBASE-1A0096F2,Geothlypis philadelphia,Mourning Warbler,Geothlypis philadelphia,Geothlypis philadelphia,Geothlypis philadelphia,Geothlypis philadelphia,Passeriformes,Parulidae,Parulidae,Parulidae,Parulidae,Geothlypis
AVIBASE-1A09655B,Antrostomus vociferus,Eastern Whip-poor-will,Antrostomus vociferus,Antrostomus vociferus,Antrostomus vociferus,Antrostomus vociferus,Caprimulgiformes,Caprimulgidae,Caprimulgidae,Caprimulgidae,Caprimulgidae,Antrostomus
AVIBASE-1A0CF540,Urosphena squameiceps,Asian Stubtail,Urosphena squameiceps,Urosphena squameiceps,Urosphena squameiceps,Urosphena squameiceps,Passeriformes,Cettiidae,Scotocercidae,Scotocercidae,Cettiidae,Urosphena
AVIBASE-1A0ECB6E,Accipiter badius,Shikra,Accipiter badius,Tachyspiza badia,Tachyspiza badia,Tachyspiza badia,Accipitriformes,Accipitridae,Accipitridae,Accipitridae,Accipitridae,Accipiter
AVIBASE-1A121D37,Carpodacus waltoni,Pink-rumped Rosefinch,Carpodacus waltoni,Carpodacus waltoni,Carpodacus waltoni,Carpodacus waltoni,Passeriformes,Fringillidae,Fringillidae,Fringillidae,Fringillidae,Carpodacus
AVIBASE-1A145C89,Columba unicincta,Afep Pigeon,Columba unicincta,Columba unicincta,Columba unicincta,Columba unicincta,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Columba
AVIBASE-1A15F0C6,Lymnocryptes minimus,Jack Snipe,Lymnocryptes minimus,Lymnocryptes minimus,Lymnocryptes minimus,Lymnocryptes minimus,Charadriiformes,Scolopacidae,Scolopacidae,Scolopacidae,Scolopacidae,Lymnocryptes
AVIBASE-1A166C56,Myrmotherula unicolor,Unicolored Antwren,Myrmotherula unicolor,Myrmotherula unicolor,Myrmotherula unicolor,Myrmotherula unicolor,Passeriformes,Thamnophilidae,Thamnophilidae,Thamnophilidae,Thamnophilidae,Myrmotherula
AVIBASE-1A1E0E53,Blythipicus pyrrhotis,Bay Woodpecker,Blythipicus pyrrhotis,Blythipicus pyrrhotis,Blythipicus pyrrhotis,Blythipicus pyrrhotis,Piciformes,Picidae,Picidae,Picidae,Picidae,Blythipicus
AVIBASE-1A2164E0,Zeledonia coronata,Wrenthrush,Zeledonia coronata,Zeledonia coronata,Zeledonia coronata,Zeledonia coronata,Passeriformes,Zeledoniidae,Zeledoniidae,Zeledoniidae,Zeledoniidae,Zeledonia
AVIBASE-1A222683,Tangara schrankii,Green-and-gold Tanager,Tangara schrankii,Tangara schrankii,Tangara schrankii,Tangara schrankii,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Tangara
AVIBASE-1A23027E,Pitta versicolor,Noisy Pitta,Pitta versicolor,Pitta versicolor,Pitta versicolor,Pitta versicolor,Passeriformes,Pittidae,Pittidae,Pittidae,Pittidae,Pitta
AVIBASE-1A279952,Megaloprepia magnifica,Wompoo Fruit-dove,Megaloprepia magnifica,Ptilinopus magnificus,Ptilinopus magnificus,Megaloprepia magnifica,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Megaloprepia
AVIBASE-1A289D90,Melaniparus leuconotus,White-backed Black Tit,Melaniparus leuconotus,Melaniparus leuconotus,Melaniparus leuconotus,Melaniparus leuconotus,Passeriformes,Paridae,Paridae,Paridae,Paridae,Melaniparus
AVIBASE-1A2A03C3,Heteromyias albispecularis,Arfak Robin,Heteromyias albispecularis,Heteromyias albispecularis,Heteromyias albispecularis,Heteromyias albispecularis,Passeriformes,Petroicidae,Petroicidae,Petroicidae,Petroicidae,Heteromyias
AVIBASE-1A2CCEDE,Passerculus sanctorum,San Benito Sparrow,Passerculus sanctorum,MISSING,MISSING,MISSING,Passeriformes,MISSING,MISSING,Passerellidae,MISSING,Passerculus
AVIBASE-1A31DD7F,Heleia squamifrons,Pygmy White-eye,Heleia squamifrons,Heleia squamifrons,Heleia squamifrons,Heleia squamifrons,Passeriformes,Zosteropidae,Zosteropidae,Zosteropidae,Zosteropidae,Heleia
AVIBASE-1A34CC23,Tockus erythrorhynchus,Northern Red-billed Hornbill,Tockus erythrorhynchus,Tockus erythrorhynchus,Tockus erythrorhynchus,Tockus erythrorhynchus,Bucerotiformes,Bucerotidae,Bucerotidae,Bucerotidae,Bucerotidae,Tockus
AVIBASE-1A397CE8,Ducula chalconota,Shining Imperial-pigeon,Ducula chalconota,Ducula chalconota,Ducula chalconota,Ducula chalconota,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Ducula
AVIBASE-1A4139AB,Eos bornea,Red Lory,Eos bornea,Eos bornea,Trichoglossus borneus,Trichoglossus borneus,Psittaciformes,Psittaculidae,Psittaculidae,Psittacidae,Psittaculidae,Eos
AVIBASE-1A5E5AE7,Diomedea sanfordi,Northern Royal Albatross,Diomedea sanfordi,Diomedea sanfordi,Diomedea sanfordi,Diomedea sanfordi,Procellariiformes,Diomedeidae,Diomedeidae,Diomedeidae,Diomedeidae,Diomedea
AVIBASE-1A601D86,Melanitta stejnegeri,Siberian Scoter,Melanitta stejnegeri,Melanitta stejnegeri,Melanitta stejnegeri,Melanitta stejnegeri,Anseriformes,Anatidae,Anatidae,Anatidae,Anatidae,Melanitta
AVIBASE-1A6B766A,Mandingoa nitidula,Green Twinspot,Mandingoa nitidula,Mandingoa nitidula,Mandingoa nitidula,Mandingoa nitidula,Passeriformes,Estrildidae,Estrildidae,Estrildidae,Estrildidae,Mandingoa
AVIBASE-1A6C6F17,Iduna caligata,Booted Warbler,Iduna caligata,Iduna caligata,Iduna caligata,Iduna caligata,Passeriformes,Acrocephalidae,Acrocephalidae,Acrocephalidae,Acrocephalidae,Iduna
AVIBASE-1A713EA2,Gracula indica,Southern Hill Myna,Gracula indica,Gracula indica,Gracula indica,Gracula indica,Passeriformes,Sturnidae,Sturnidae,Sturnidae,Sturnidae,Gracula
AVIBASE-1A7D3F29,Picoides maculatus,Philippine Pygmy Woodpecker,Picoides maculatus,Yungipicus maculatus,Yungipicus maculatus,Yungipicus maculatus,Piciformes,Picidae,Picidae,Picidae,Picidae,Picoides
AVIBASE-1A7D8F6B,Cyanoliseus patagonus,Burrowing Parrot,Cyanoliseus patagonus,Cyanoliseus patagonus,Cyanoliseus patagonus,Cyanoliseus patagonus,Psittaciformes,Psittacidae,Psittacidae,Psittacidae,Psittacidae,Cyanoliseus
AVIBASE-1A87E3A9,Pionus fuscus,Dusky Parrot,Pionus fuscus,Pionus fuscus,Pionus fuscus,Pionus fuscus,Psittaciformes,Psittacidae,Psittacidae,Psittacidae,Psittacidae,Pionus
AVIBASE-1A8BAFCA,Vireolanius pulchellus,Green Shrike-vireo,Vireolanius pulchellus,Vireolanius pulchellus,Vireolanius pulchellus,Vireolanius pulchellus,Passeriformes,Vireonidae,Vireonidae,Vireonidae,Vireonidae,Vireolanius
AVIBASE-1A8C5D44,Boissonneaua jardini,Velvet-purple Coronet,Boissonneaua jardini,Boissonneaua jardini,Boissonneaua jardini,Boissonneaua jardini,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Boissonneaua
AVIBASE-1A941EF8,Leucocarbo atriceps,Imperial Shag,Leucocarbo atriceps,Leucocarbo atriceps,Leucocarbo atriceps,Leucocarbo atriceps,Pelecaniformes,Phalacrocoracidae,Phalacrocoracidae,Phalacrocoracidae,Phalacrocoracidae,Leucocarbo
AVIBASE-1A965D60,Onychoprion lunatus,Grey-backed Tern,Onychoprion lunatus,Onychoprion lunatus,Onychoprion lunatus,Onychoprion lunatus,Charadriiformes,Laridae,Laridae,Laridae,Laridae,Onychoprion
