avibase_id,species_latin_key,species_english,species_birdlife,species_ioc,species_ebird,species_avilist,order,family_ioc,family_clements,family_birdlife,family_avilist,genus
AVIBASE-009C0626,Mulleripicus fuliginosus,Southern Sooty Woodpecker,Mulleripicus fuliginosus,Mulleripicus fuliginosus,Mulleripicus fuliginosus,Mulleripicus fuliginosus,Piciformes,Picidae,Picidae,Picidae,Picidae,Mulleripicus
AVIBASE-00A4E68D,Microeca hemixantha,Tanimbar Flyrobin,Microeca hemixantha,Microeca hemixantha,Microeca hemixantha,Microeca hemixantha,Passeriformes,Petroicidae,Petroicidae,Petroicidae,Petroicidae,Microeca
AVIBASE-00AECE2A,Prioniturus mada,Buru Racquet-tail,Prioniturus mada,Prioniturus mada,Prioniturus mada,Prioniturus mada,Psittaciformes,Psittaculidae,Psittaculidae,Psittacidae,Psittaculidae,Prioniturus
AVIBASE-00AF5DA1,Stagonopleura guttata,Diamond Firetail,Stagonopleura guttata,Stagonopleura guttata,Stagonopleura guttata,Stagonopleura guttata,Passeriformes,Estrildidae,Estrildidae,Estrildidae,Estrildidae,Stagonopleura
AVIBASE-00B07B12,Dinemellia dinemelli,White-headed Buffalo-Weaver,Dinemellia dinemelli,Dinemellia dinemelli,Dinemellia dinemelli,Dinemellia dinemelli,Passeriformes,Ploceidae,Ploceidae,Ploceidae,Ploceidae,Dinemellia
AVIBASE-00B132B4,Heliactin bilophus,Horned Sungem,Heliactin bilophus,Heliactin bilophus,Heliactin bilophus,Heliactin bilophus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliactin
AVIBASE-00B39690,Dendrocopos macei,Fulvous-breasted Woodpecker,Dendrocopos macei,Dendrocopos macei,Dendrocopos macei,Dendrocopos macei,Piciformes,Picidae,Picidae,Picidae,Picidae,Dendrocopos
AVIBASE-00BBD4CF,Falco subniger,Black Falcon,Falco subniger,Falco subniger,Falco subniger,Falco subniger,Falconiformes,Falconidae,Falconidae,Falconidae,Falconidae,Falco
AVIBASE-00C6FC90,Pteruthius xanthochlorus,Green Shrike-babbler,Pteruthius xanthochlorus,Pteruthius xanthochlorus,Pteruthius xanthochlorus,Pteruthius xanthochlorus,Passeriformes,Vireonidae,Vireonidae,Vireonidae,Vireonidae,Pteruthius
AVIBASE-00CCDD79,Piculus aurulentus,Yellow-browed Woodpecker,Piculus aurulentus,Piculus aurulentus,Piculus aurulentus,Piculus aurulentus,Piciformes,Picidae,Picidae,Picidae,Picidae,Piculus
AVIBASE-00D11273,Nesophlox evelynae,Bahama Hummingbird,Nesophlox evelynae,Nesophlox evelynae,Nesophlox evelynae,Nesophlox evelynae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Nesophlox
AVIBASE-00DA9D91,Larus canus,Common Gull,Larus canus,Larus canus,Larus canus,Larus canus,Charadriiformes,Laridae,Laridae,Laridae,Laridae,Larus
AVIBASE-00DDD5CE,Phylloscartes parkeri,Cinnamon-faced Tyrannulet,Phylloscartes parkeri,Phylloscartes parkeri,Phylloscartes parkeri,Phylloscartes parkeri,Passeriformes,Tyrannidae,Tyrannidae,Tyrannidae,Tyrannidae,Phylloscartes
AVIBASE-00DF0484,Edolisoma incertum,Black-shouldered Cicadabird,Edolisoma incertum,Edolisoma incertum,Edolisoma incertum,Edolisoma incertum,Passeriformes,Campephagidae,Campephagidae,Campephagidae,Campephagidae,Edolisoma
AVIBASE-00E090F8,Fregata aquila,Ascension Frigatebird,Fregata aquila,Fregata aquila,Fregata aquila,Fregata aquila,Pelecaniformes,Fregatidae,Fregatidae,Fregatidae,Fregatidae,Fregata
AVIBASE-00F880FA,Dasylophus superciliosus,Red-crested Malkoha,Dasylophus superciliosus,Dasylophus superciliosus,Dasylophus superciliosus,Dasylophus superciliosus,Cuculiformes,Cuculidae,Cuculidae,Cuculidae,Cuculidae,Dasylophus
AVIBASE-01060BFD,Calidris mauri,Western Sandpiper,Calidris mauri,Calidris mauri,Calidris mauri,Calidris mauri,Charadriiformes,Scolopacidae,Scolopacidae,Scolopacidae,Scolopacidae,Calidris
AVIBASE-010AC994,Aviceda subcristata,Pacific Baza,Aviceda subcristata,Aviceda subcristata,Aviceda subcristata,Aviceda subcristata,Accipitriformes,Accipitridae,Accipitridae,Accipitridae,Accipitridae,Aviceda
AVIBASE-010B758B,Empidonax affinis,Pine Flycatcher,Empidonax affinis,Empidonax affinis,Empidonax affinis,Empidonax affinis,Passeriformes,Tyrannidae,Tyrannidae,Tyrannidae,Tyrannidae,Empidonax
AVIBASE-0116C834,Hirundo nigrita,White-bibbed Swallow,Hirundo nigrita,Hirundo nigrita,Hirundo nigrita,Hirundo nigrita,Passeriformes,Hirundinidae,Hirundinidae,Hirundinidae,Hirundinidae,Hirundo
AVIBASE-011A5D07,Clytorhynchus sanctaecrucis,Nendo Shrikebill,Clytorhynchus sanctaecrucis,Clytorhynchus sanctaecrucis,Clytorhynchus sanctaecrucis,Clytorhynchus sanctaecrucis,Passeriformes,Monarchidae,Monarchidae,Monarchidae,Monarchidae,Clytorhynchus
AVIBASE-011EB942,Laterallus albigularis,White-throated Crake,Laterallus albigularis,Laterallus albigularis,Laterallus albigularis,Laterallus albigularis,Gruiformes,Rallidae,Rallidae,Rallidae,Rallidae,Laterallus
AVIBASE-012084A9,Nystalus striolatus,Eastern Striolated Puffbird,Nystalus striolatus,Nystalus striolatus,Nystalus striolatus,Nystalus striolatus,Piciformes,Bucconidae,Bucconidae,Bucconidae,Bucconidae,Nystalus
AVIBASE-01280CF8,Scytalopus alvarezlopezi,Tatamá Tapaculo,Scytalopus alvarezlopezi,Scytalopus alvarezlopezi,Scytalopus alvarezlopezi,Scytalopus alvarezlopezi,Passeriformes,Rhinocryptidae,Rhinocryptidae,Rhinocryptidae,Rhinocryptidae,Scytalopus
AVIBASE-0133C47B,Laniarius sublacteus,Zanzibar Boubou,Laniarius sublacteus,Laniarius sublacteus,Laniarius sublacteus,Laniarius sublacteus,Passeriformes,Malaconotidae,Malaconotidae,Malaconotidae,Malaconotidae,Laniarius
AVIBASE-013420E1,Carpodacus rodopeplus,Spot-winged Rosefinch,Carpodacus rodopeplus,Carpodacus rodopeplus,Carpodacus rodopeplus,Carpodacus rodopeplus,Passeriformes,Fringillidae,Fringillidae,Fringillidae,Fringillidae,Carpodacus
AVIBASE-0134A6D7,Callacanthis burtoni,Spectacled Finch,Callacanthis burtoni,Callacanthis burtoni,Callacanthis burtoni,Callacanthis burtoni,Passeriformes,Fringillidae,Fringillidae,Fringillidae,Fringillidae,Callacanthis
AVIBASE-0136C1F3,Gallirallus australis,Weka,Gallirallus australis,Gallirallus australis,Gallirallus australis,Gallirallus australis,Gruiformes,Rallidae,Rallidae,Rallidae,Rallidae,Gallirallus
AVIBASE-01391B1A,Aceros nipalensis,Rufous-necked Hornbill,Aceros nipalensis,Aceros nipalensis,Aceros nipalensis,Aceros nipalensis,Bucerotiformes,Bucerotidae,Bucerotidae,Bucerotidae,Bucerotidae,Aceros
AVIBASE-013B2B0B,Chauna chavaria,Northern Screamer,Chauna chavaria,Chauna chavaria,Chauna chavaria,Chauna chavaria,Anseriformes,Anhimidae,Anhimidae,Anhimidae,Anhimidae,Chauna
AVIBASE-013E99A8,Knipolegus striaticeps,Cinereous Black-tyrant,Knipolegus striaticeps,Knipolegus striaticeps,Knipolegus striaticeps,Knipolegus striaticeps,Passeriformes,Tyrannidae,Tyrannidae,Tyrannidae,Tyrannidae,Knipolegus
AVIBASE-01450385,Premnoplex tatei,White-throated Barbtail,Premnoplex tatei,Premnoplex tatei,Premnoplex tatei,Premnoplex tatei,Passeriformes,Furnariidae,Furnariidae,Furnariidae,Furnariidae,Premnoplex
AVIBASE-0145FE4C,Sipia laemosticta,Dull-mantled Antbird,Sipia laemosticta,Sipia laemosticta,Sipia laemosticta,Sipia laemosticta,Passeriformes,Thamnophilidae,Thamnophilidae,Thamnophilidae,Thamnophilidae,Sipia
AVIBASE-0147433E,Rowettia goughensis,Gough Island Finch,Rowettia goughensis,Rowettia goughensis,Rowettia goughensis,Rowettia goughensis,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Rowettia
AVIBASE-014F2462,Caprimulgus affinis,Savanna Nightjar,Caprimulgus affinis,Caprimulgus affinis,Caprimulgus affinis,Caprimulgus affinis,Caprimulgiformes,Caprimulgidae,Caprimulgidae,Caprimulgidae,Caprimulgidae,Caprimulgus
AVIBASE-015533E2,Phoenicurus hodgsoni,Hodgson's Redstart,Phoenicurus hodgsoni,Phoenicurus hodgsoni,Phoenicurus hodgsoni,Phoenicurus hodgsoni,Passeriformes,Muscicapidae,Muscicapidae,Muscicapidae,Muscicapidae,Phoenicurus
AVIBASE-015542ED,Sylvia nigricapillus,Bush Blackcap,Sylvia nigricapillus,Sylvia nigricapillus,Sylvia nigricapillus,Sylvia nigricapillus,Passeriformes,Sylviidae,Sylviidae,Sylviidae,Sylviidae,Sylvia
AVIBASE-0158561B,Prunella rubeculoides,Robin Accentor,Prunella rubeculoides,Prunella rubeculoides,Prunella rubeculoides,Prunella rubeculoides,Passeriformes,Prunellidae,Prunellidae,Prunellidae,Prunellidae,Prunella
AVIBASE-0161CAAD,Myrmoderus loricatus,White-bibbed Antbird,Myrmoderus loricatus,Myrmoderus loricatus,Myrmoderus loricatus,Myrmoderus loricatus,Passeriformes,Thamnophilidae,Thamnophilidae,Thamnophilidae,Thamnophilidae,Myrmoderus
AVIBASE-0165D38B,Henicophaps foersteri,New Britain Bronzewing,Henicophaps foersteri,Henicophaps foersteri,Henicophaps foersteri,Henicophaps foersteri,Columbiformes,Columbidae,Columbidae,Columbidae,Columbidae,Henicophaps
AVIBASE-0179C599,Phyllanthus atripennis,Grey-hooded Capuchin Babbler,Phyllanthus atripennis,Turdoides atripennis,Turdoides atripennis,Turdoides atripennis,Passeriformes,Leiothrichidae,Leiothrichidae,Leiotrichidae,Leiothrichidae,Phyllanthus
AVIBASE-01877F66,Xenopirostris polleni,Pollen's Vanga,Xenopirostris polleni,Xenopirostris polleni,Xenopirostris polleni,Xenopirostris polleni,Passeriformes,Vangidae,Vangidae,Vangidae,Vangidae,Xenopirostris
AVIBASE-018B3169,Podiceps auritus,Horned Grebe,Podiceps auritus,Podiceps auritus,Podiceps auritus,Podiceps auritus,Podicipediformes,Podicipedidae,Podicipedidae,Podicipedidae,Podicipedidae,Podiceps
