avibase_id,beak_culmen,beak_culmen_m,beak_culmen_f,beak_nares,beak_nares_m,beak_nares_f,beak_width,beak_width_m,beak_width_f,beak_depth,beak_depth_m,beak_depth_f,tarsus,tarsus_m,tarsus_f,wing_len,wing_len_m,wing_len_f,kipps,kipps_m,kipps_f,secondary,secondary_m,secondary_f,hand_wing_index,hand_wing_index_m,hand_wing_index_f,tail_len,tail_len_m,tail_len_f,sample_size,sample_size_f,sample_size_m,mass,mass_source,inference,habitat,habitat_density,migration,primary_diet,trophic_niche,lifestyle,lat_min,lat_max,lat_centroid,lon_centroid,range_size,mass_BB,elevation_min_BB,elevation_range_BB,elevation_max_BB,habitat_BB,primary_diet_BB,nest_type_BB,flightless_BB,trophic_niche_BB,in_avonet,in_birdbase
AVIBASE-000E026B,25.4,,25.4,12.9,,12.9,6.5,,6.5,11.6,,11.6,33.6,34.0,33.2,164.0,,164.0,36.5,,36.5,127.5,,127.5,22.3,,22.3,51.4,,51.4,2.0,1.0,1.0,125.0,Updated_literature,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,5.56,12.59,8.39,124.81,119572.02,144.25,0.0,1550.0,1550.0,Forest,Carnivore,CV,No,Invertivore,True,True
AVIBASE-00124D98,19.57333,19.9,18.7,9.28333,9.3,8.5,2.73333,2.6,2.7,3.38333,3.36667,3.1,19.58667,19.92857,19.7,144.38571,146.66667,137.8,53.07692,55.9,48.64,91.64615,90.76667,89.16,36.59231,38.0,35.26,122.15,130.33333,117.8,15.0,5.0,7.0,118.9,Dunning,NO,Human Modified,3.0,1.0,Herbivore,Granivore,Terrestrial,7.45,56.32,39.64,-99.32,11131808.01,127.0,0.0,2500.0,2500.0,Grassland,Herbivore,,No,Granivore,True,True
AVIBASE-00146574,26.8,26.8,,,,,7.2,7.2,,8.5,8.5,,25.1,25.1,,164.0,164.0,,,,,,,,,,,99.0,99.0,,,,,,MISSING,MISSING,MISSING,,,MISSING,MISSING,MISSING,,,,,,,,,,,,,,,True,False
AVIBASE-0018A99B,36.98,36.1,37.56667,18.25,17.8,18.7,11.56,11.1,11.86667,17.15,16.55,17.75,63.325,62.25,64.4,299.4,289.5,306.0,98.2,95.0,101.4,200.55,194.5,206.6,32.9,32.85,32.95,161.8,161.0,162.33333,5.0,3.0,2.0,500.0,Dunning,NO,Rock,2.0,1.0,Carnivore,Vertivore,Insessorial,-2.41,20.0,10.5,18.05,9679896.35,500.0,,,2500.0,Desert,Carnivore,"O,SC",No,Vertivore,True,True
AVIBASE-002105C7,22.71818,23.02222,21.35,11.3,11.6125,10.05,5.1,5.13333,4.95,5.59091,5.66667,5.25,23.34545,23.42222,23.0,182.63636,182.44444,183.5,68.59,67.1,74.55,113.71,114.9,108.95,37.58,36.825,40.6,118.0,120.44444,107.0,11.0,2.0,9.0,245.0,Dunning,NO,Forest,2.0,2.0,Herbivore,Frugivore,Insessorial,13.75,45.52,28.01,116.78,2159328.24,245.0,0.0,2300.0,2300.0,Forest,Herbivore,PL,No,Frugivore,True,True
AVIBASE-00242897,10.725,10.63333,,6.175,6.0,,2.625,2.56667,,3.1,3.1,,11.55,11.83333,,49.5,48.66667,,10.0,9.7,,39.5,38.96667,,20.2,19.93333,,26.25,26.33333,,4.0,0.0,3.0,7.6,Dunning,NO,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-4.11,0.04,-2.02,132.99,97817.39,7.63333,0.0,1500.0,1500.0,Forest,Herbivore,,No,Frugivore,True,True
AVIBASE-002445CB,38.82222,39.0,38.6,18.825,18.95,18.7,9.28,9.0,9.7,18.38,18.2,18.65,54.18889,52.82,55.9,321.44444,324.4,317.75,36.45,38.325,34.575,286.9375,290.7,283.175,11.2125,11.625,10.8,366.81111,363.9,370.45,9.0,4.0,5.0,965.0,Dunning,NO,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-11.06,11.59,1.55,16.15,3896093.97,964.75,0.0,2700.0,2700.0,Forest,Herbivore,PL,No,Frugivore,True,True
AVIBASE-0037A14F,11.72857,12.06,10.9,5.675,5.95,5.4,4.3125,4.51667,3.7,4.1,4.08,4.15,19.42857,20.04,17.9,59.25,59.83333,57.5,10.4625,10.66667,9.85,48.7875,49.16667,47.65,17.625,17.78333,17.15,41.125,40.16667,44.0,,,,,MISSING,MISSING,MISSING,,,MISSING,MISSING,MISSING,,,,,,11.8125,750.0,2000.0,2750.0,Forest,Carnivore,HC,No,Invertivore,True,True
AVIBASE-0039BCC0,14.34,13.95,14.6,11.525,11.7,11.35,7.34,7.5,7.23333,7.54,7.9,7.3,20.08,21.4,19.2,107.2,112.0,104.0,36.775,38.05,35.5,71.475,73.95,69.0,33.95,33.95,33.95,67.0,68.5,66.0,5.0,3.0,2.0,31.3,Updated_literature,NO,Desert,3.0,2.0,Herbivore,Granivore,Terrestrial,27.31,36.76,32.2,93.82,980500.67,31.3,3500.0,1700.0,5200.0,Grassland,Herbivore,"CR,CP,BU",No,Granivore,True,True
AVIBASE-003BE0C5,87.54,83.6,89.25,66.15,63.7,68.6,9.26,8.9,9.7,13.06,12.35,13.2,64.76,62.35,65.95,201.2,191.0,195.0,58.825,57.5,60.15,134.175,133.5,134.85,30.425,30.05,30.8,61.5,59.5,63.5,5.0,2.0,2.0,321.0,Dunning,NO,Wetland,1.0,1.0,Carnivore,Aquatic predator,Terrestrial,-37.8,34.13,10.74,113.76,6677261.29,314.0,0.0,1200.0,1200.0,Wetland,Carnivore,PL,No,Omnivore,True,True
AVIBASE-003D8AAD,26.1,25.0,27.2,23.05,22.3,23.8,13.5,13.0,14.0,20.75,21.0,20.5,17.5,18.2,16.8,166.5,162.0,171.0,68.0,67.0,69.0,98.5,95.0,102.0,40.9,41.4,40.4,89.0,88.0,90.0,2.0,1.0,1.0,45.0,EltonTraits_Model,NO,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,5.05,5.35,5.2,120.06,621.55,,0.0,,,Forest,Herbivore,,No,Frugivore,True,True
AVIBASE-004AD91D,25.95,23.9,28.0,15.95,14.65,17.25,9.425,8.8,10.05,13.875,12.75,15.0,51.125,49.05,53.2,197.25,185.0,209.5,60.75,56.0,65.5,136.5,129.0,144.0,30.775,30.3,31.25,136.5,130.0,143.0,,,,,MISSING,MISSING,MISSING,,,MISSING,MISSING,MISSING,,,,,,266.25,0.0,800.0,800.0,Forest,Carnivore,,No,Vertivore,True,True
AVIBASE-0058E798,17.84,18.2,17.3,9.425,9.45,9.4,3.9,4.06667,3.65,5.28,5.5,4.95,30.72,31.43333,29.65,84.2,88.66667,77.5,5.225,6.1,4.35,77.775,82.4,73.15,6.275,6.9,5.65,67.2,65.66667,69.5,5.0,2.0,3.0,48.4,Dunning,NO,Forest,2.0,1.0,Carnivore,Invertivore,Terrestrial,1.61,13.55,6.91,-1.0,631343.92,45.25,0.0,1500.0,1500.0,Forest,Carnivore,CP,No,Invertivore,True,True
AVIBASE-0059A2E0,25.51333,25.74444,25.16667,16.625,17.0,16.25,3.34,3.4,3.25,2.9,2.83333,3.0,16.25333,16.31111,16.16667,67.33333,69.77778,63.66667,11.83571,13.3,9.88333,55.66429,57.075,53.78333,17.42143,18.9,15.45,46.33333,48.16667,43.58333,15.0,6.0,9.0,12.2,Dunning,NO,Shrubland,2.0,2.0,Omnivore,Omnivore,Insessorial,-31.44,16.69,-3.8,24.16,9424883.18,11.7,0.0,1700.0,1700.0,Woodland,Herbivore,DM,No,Nectarivore,True,True
AVIBASE-00634D72,15.0,15.025,14.95,11.125,11.15,11.1,5.9,5.73333,6.15,7.8,7.76667,7.85,16.63333,16.7,16.5,69.91667,70.625,68.5,11.62,12.8,9.85,57.88,57.36667,58.65,16.7,18.26667,14.35,53.78333,54.175,53.0,6.0,2.0,4.0,20.0,Dunning,NO,Forest,1.0,1.0,Herbivore,Granivore,Terrestrial,16.3,16.86,16.61,-94.7,6979.8,20.0,180.0,620.0,800.0,Forest,Omnivore,CP,No,Omnivore,True,True
AVIBASE-00635FF9,52.08571,52.7,51.26667,37.425,37.9,36.95,14.58571,14.525,14.66667,11.91429,12.025,11.76667,29.25714,30.55,27.53333,228.42857,228.5,228.33333,56.425,55.75,57.1,166.575,168.75,164.4,25.3,24.85,25.75,167.33333,165.66667,169.0,7.0,3.0,4.0,286.6,Dunning,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,24.53,58.16,45.18,-93.77,5925872.32,287.76667,0.0,2300.0,2300.0,Forest,Carnivore,CV,No,Invertivore,True,True
AVIBASE-006667E7,11.9,12.1,11.6,6.6,6.5,6.7,2.14,2.2,2.05,2.62,2.76667,2.4,19.46,20.1,18.5,54.6,57.33333,50.5,7.45,7.75,7.15,46.8,50.25,43.35,13.75,13.35,14.15,33.6,35.33333,31.0,5.0,2.0,3.0,8.0,Dunning,NO,Grassland,3.0,1.0,Carnivore,Invertivore,Terrestrial,-5.13,14.97,2.62,25.97,465384.19,8.66667,0.0,2300.0,2300.0,Grassland,Carnivore,SP,No,Invertivore,True,True
AVIBASE-007B7943,16.125,16.6,15.8,13.475,13.7,13.1,8.675,9.0,8.4,16.1,17.2,16.8,11.65,12.1,10.4,114.75,122.0,116.0,47.5,50.0,49.0,67.25,72.0,67.0,41.375,41.0,42.2,106.75,110.0,101.0,4.0,1.0,1.0,75.9,EltonTraits_GenAvg,NO,Forest,1.0,1.0,Herbivore,Omnivore,Insessorial,-23.08,-13.9,-19.05,-41.54,273322.17,84.25,0.0,600.0,600.0,Forest,Herbivore,,No,Omnivore,True,True
AVIBASE-00855728,20.81364,21.45833,20.28889,11.65,12.5,11.3,5.63889,5.95,5.28571,6.27222,6.4,6.15714,22.65455,22.99167,22.12222,79.0,78.95833,78.5,10.85238,10.82727,10.75556,67.95714,67.76364,67.74444,13.76667,13.76364,13.71111,65.15909,62.75,67.61111,22.0,9.0,12.0,26.2,Dunning,NO,Woodland,2.0,1.0,Carnivore,Invertivore,Insessorial,-34.21,3.48,-13.69,28.38,5720470.9,26.625,0.0,2200.0,2200.0,Woodland,Carnivore,CP,No,Invertivore,True,True
AVIBASE-00867CE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,0.0,,,Forest,Carnivore,,No,Invertivore,False,True
AVIBASE-0093A624,20.9,22.3,18.8,16.225,17.9,14.55,5.6,5.76667,5.35,5.78,6.03333,5.4,19.5,19.63333,19.3,109.4,111.0,107.0,27.775,27.6,27.95,80.475,81.9,79.05,25.675,25.2,26.15,64.8,65.66667,63.5,5.0,2.0,3.0,19.5,Dunning,NO,Woodland,2.0,1.0,Carnivore,Invertivore,Insessorial,13.06,26.52,20.33,41.54,129511.08,26.83333,0.0,3000.0,3000.0,Riverine,Carnivore,CV,No,Invertivore,True,True
AVIBASE-00945758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,60.8,Updated_literature,YES,Shrubland,2.0,1.0,Carnivore,Invertivore,Terrestrial,-31.71,-21.66,-26.22,122.51,1461523.74,62.8,,,,Woodland,Carnivore,CP,No,Invertivore,True,True
AVIBASE-00986B24,86.54,78.45,94.7,35.65,32.1,36.05,27.2,24.3,29.15,17.22,15.95,16.95,308.0,295.0,312.5,604.5,578.0,590.0,0.325,0.3,0.3,604.175,577.7,589.7,0.1,0.1,0.1,62.0,65.0,71.5,5.0,2.0,2.0,23000.0,Dunning,NO,Grassland,3.0,1.0,Omnivore,Omnivore,Terrestrial,-41.17,-4.65,-21.37,-53.45,6537549.66,25250.0,0.0,1200.0,1200.0,Grassland,Herbivore,SC,Yes,Herbivore terrestrial,True,True
AVIBASE-009A3CAA,15.9,16.16667,15.1,8.8875,8.86667,8.95,3.875,3.91667,3.75,3.9,3.88333,3.95,17.5875,17.43333,18.05,51.9125,52.48333,50.2,6.6,6.46667,7.0,46.0,46.61667,44.15,12.775,12.46667,13.7,46.5375,47.03333,45.05,8.0,2.0,6.0,11.4,Dunning,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-13.97,5.58,-5.94,-76.04,109343.39,11.5,500.0,1400.0,1900.0,Forest,Carnivore,,No,Invertivore,True,True
AVIBASE-009C0626,37.0,36.3,37.7,27.6,27.7,27.5,10.525,10.4,10.65,10.825,10.85,10.8,26.3,26.0,26.6,152.275,150.5,154.05,32.3,32.55,32.05,120.0,118.0,122.0,21.225,21.65,20.8,92.2,89.2,95.2,4.0,2.0,2.0,172.0,Updated_literature,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,5.56,12.59,8.3,124.86,107250.58,164.0,0.0,500.0,500.0,Forest,Carnivore,,No,Invertivore,True,True
AVIBASE-00A4E68D,12.35,12.9,11.8,7.55,7.9,7.2,4.55,4.6,4.5,3.5,3.5,3.5,13.6,14.0,13.2,73.5,75.0,72.0,17.15,17.9,16.4,56.35,57.1,55.6,23.35,23.9,22.8,50.5,52.0,49.0,2.0,1.0,1.0,13.7,EltonTraits_GenAvg,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-8.01,-7.1,-7.54,131.41,2954.97,,0.0,50.0,50.0,Forest,Carnivore,CP,No,Invertivore,True,True
AVIBASE-00AECE2A,24.0,23.73333,24.4,19.125,19.4,18.85,12.18,12.56667,11.6,20.28,20.56667,19.85,18.38,17.76667,19.3,174.8,178.66667,169.0,68.5,70.5,66.5,103.5,104.5,102.5,39.75,40.15,39.35,103.8,105.66667,101.0,5.0,2.0,3.0,116.8,EltonTraits_GenAvg,NO,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-3.84,-3.05,-3.44,126.54,6285.54,,0.0,1750.0,1750.0,Forest,Herbivore,CV,No,Frugivore,True,True
AVIBASE-00AF5DA1,10.62727,10.51667,10.76,8.1,8.15,8.05,6.06364,6.1,6.02,6.4,6.25,6.58,16.19091,16.26667,16.1,66.04545,66.41667,65.6,17.875,18.1,17.65,48.75,49.4,48.1,26.85,26.8,26.9,39.54545,39.66667,39.4,11.0,5.0,6.0,17.6,Dunning,NO,Woodland,3.0,1.0,Herbivore,Granivore,Terrestrial,-39.14,-23.36,-32.0,146.31,1457198.69,18.4,0.0,1000.0,1000.0,Forest,Herbivore,SP,No,Granivore,True,True
AVIBASE-00B07B12,23.51111,24.48,22.3,15.05,15.6,14.5,8.72,8.96667,8.35,12.16,12.43333,11.75,29.98889,30.56,29.275,117.11111,120.4,113.0,22.04286,22.375,21.6,94.38571,96.875,91.06667,18.84286,18.725,19.0,76.94444,80.0,73.125,9.0,4.0,5.0,63.9,Dunning,NO,Grassland,2.0,1.0,Omnivore,Invertivore,Terrestrial,-8.93,12.06,3.6,39.31,2361338.48,70.0,0.0,1400.0,1400.0,Grassland,Carnivore,SP,No,Invertivore,True,True
AVIBASE-00B132B4,18.52,17.36667,20.25,12.85,11.9,13.8,1.54,1.63333,1.4,1.7,1.5,2.0,4.24,4.1,4.45,47.8,48.33333,47.0,34.875,37.4,32.35,13.15,11.6,14.7,72.5,76.2,68.8,50.2,51.0,49.0,5.0,2.0,3.0,4.4,Dunning,NO,Woodland,2.0,1.0,Herbivore,Nectarivore,Aerial,-23.73,3.45,-13.55,-49.44,3879596.58,2.3,0.0,500.0,500.0,Riverine,Herbivore,CP,No,Nectarivore,True,True
AVIBASE-00B39690,22.78,24.5,20.2,18.05,19.35,16.75,6.4,6.73333,5.9,6.44,6.83333,5.85,18.68,19.3,17.75,104.9,106.16667,103.0,25.9,25.5,26.3,77.225,77.75,76.7,25.15,24.75,25.55,65.5,72.16667,55.5,5.0,2.0,3.0,44.9,Dunning,NO,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,17.58,33.5,25.03,88.01,904703.87,40.33333,0.0,2800.0,2800.0,Forest,Carnivore,CV,No,Invertivore,True,True
AVIBASE-00BBD4CF,27.675,26.1,29.5,20.4,20.0,22.0,12.825,12.6,14.0,16.85,16.1,17.7,50.575,51.2,54.6,374.75,356.0,393.0,182.0,174.0,193.0,192.75,182.0,200.0,48.6,48.9,49.1,224.75,221.0,242.0,4.0,1.0,1.0,776.0,Dunning,NO,Woodland,3.0,2.0,Carnivore,Vertivore,Generalist,-39.14,-10.69,-24.97,137.92,5910471.62,725.25,0.0,1400.0,1400.0,Woodland,Carnivore,O,No,Vertivore,True,True
AVIBASE-00C6FC90,11.78,12.05,10.7,5.4,5.45,5.35,3.92,4.0125,3.55,3.94,3.8875,4.15,21.62,22.025,20.0,62.0,62.4375,60.25,10.14444,10.18571,10.0,51.85556,52.31429,50.25,16.34444,16.27143,16.6,45.9,46.0,45.5,10.0,2.0,8.0,14.3,Dunning,NO,Forest,1.0,1.0,Omnivore,Invertivore,Insessorial,20.9,35.13,29.11,96.27,786930.44,14.33333,900.0,2700.0,3600.0,Forest,Carnivore,PN,No,Invertivore,True,True
AVIBASE-00CCDD79,25.68,26.2,24.9,18.9,19.55,18.25,7.1,7.33333,6.75,6.85,6.95,6.75,19.64,20.0,19.1,118.6,118.66667,118.5,24.175,22.5,25.85,94.325,96.0,92.65,20.375,19.0,21.75,71.2,72.33333,69.5,5.0,2.0,3.0,75.0,Dunning,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-32.39,-19.05,-25.73,-50.96,748842.17,63.0,0.0,3100.0,3100.0,Forest,Carnivore,CV,No,Invertivore,True,True
AVIBASE-00D11273,17.675,17.6,17.75,14.35,14.4,14.3,1.375,1.2,1.55,1.5,1.55,1.45,3.93333,4.0,3.9,39.775,38.95,40.6,26.275,25.9,26.65,13.5,13.05,13.95,66.1,66.55,65.65,30.0,32.0,28.0,4.0,2.0,2.0,2.4,Dunning,NO,Human Modified,2.0,1.0,Herbivore,Nectarivore,Aerial,21.18,27.23,24.57,-76.85,12175.66,2.85,0.0,63.0,63.0,Coastal,Herbivore,CP,No,Nectarivore,True,True
AVIBASE-00DA9D91,47.77,50.025,47.7,16.575,17.4,15.75,5.53333,5.65,5.15,10.08333,10.7,9.1,49.45,50.7,48.275,351.05,354.0,350.125,206.1625,205.2,207.125,145.9,148.8,143.0,58.625,58.0,59.25,133.77,134.25,131.175,,,,,MISSING,MISSING,MISSING,,,MISSING,MISSING,MISSING,,,,,,431.33333,0.0,1400.0,1400.0,Coastal,Carnivore,HC,No,Omnivore,True,True
AVIBASE-00DDD5CE,11.25,11.3,11.1,6.6,7.03333,5.3,3.0,3.1,2.7,2.825,2.93333,2.5,16.85,17.16667,15.9,52.0,53.0,49.0,7.2,7.43333,6.5,44.8,45.56667,42.5,13.825,14.0,13.3,47.5,49.66667,41.0,4.0,1.0,3.0,8.1,Dunning,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-15.45,-8.86,-12.49,-72.15,94589.0,8.175,650.0,550.0,1200.0,Forest,Carnivore,,No,Invertivore,True,True
AVIBASE-00DF0484,24.92,25.3875,22.3,15.75,16.7,14.5,7.92,8.025,7.3,7.57,7.5875,7.9,23.49,23.6875,22.5,113.2,113.25,110.0,31.19,31.025,29.8,82.01,82.225,80.2,27.54,27.3875,27.1,77.5,75.75,82.0,10.0,1.0,8.0,58.9,Dunning,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-10.7,0.11,-4.93,141.4,348235.08,56.5,450.0,1000.0,1450.0,Forest,Carnivore,,No,Invertivore,True,True
AVIBASE-00E090F8,97.24,94.4,101.5,85.5,81.0,90.0,24.18,23.6,25.05,19.94,19.4,20.75,24.9,25.36667,24.2,568.4,559.66667,581.5,363.75,380.0,347.5,207.75,181.5,234.0,63.825,67.7,59.95,385.0,382.66667,388.5,5.0,2.0,3.0,1620.0,Dunning,NO,Marine,3.0,3.0,Carnivore,Aquatic predator,Aerial,-16.92,-1.18,-8.34,-12.96,2548973.33,1435.0,0.0,0.0,0.0,Marine,Carnivore,,No,Aquatic predator,True,True
AVIBASE-00F880FA,36.0,37.8,34.8,25.925,25.8,25.96667,12.52,12.3,12.66667,15.96,16.95,15.3,36.76,35.55,37.56667,154.0,154.0,154.0,15.375,11.3,16.73333,138.625,142.7,137.26667,9.95,7.3,10.83333,219.06,218.55,219.4,5.0,3.0,2.0,123.0,Dunning,NO,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,13.0,18.43,15.49,122.05,16303.41,119.5,100.0,700.0,800.0,Forest,Carnivore,,No,Invertivore,True,True
AVIBASE-01060BFD,20.98,21.66667,19.95,15.825,16.65,15.0,2.3,2.5,2.0,3.46,3.5,3.4,20.98,20.6,21.55,92.2,90.66667,94.5,45.55,46.75,44.35,47.45,44.75,50.15,49.0,51.1,46.9,38.4,40.0,36.0,5.0,2.0,3.0,27.8,Dunning,NO,Shrubland,3.0,3.0,Carnivore,Aquatic predator,Terrestrial,56.9,71.39,64.59,-162.32,310485.3,28.23333,0.0,2500.0,2500.0,Shrubland,Carnivore,SC,No,Invertivore,True,True
AVIBASE-010AC994,28.34,28.93333,27.45,19.7,19.85,19.55,11.58,11.7,11.4,14.675,14.16667,16.2,36.34,37.23333,35.0,336.6,336.33333,337.0,134.5,137.5,131.5,200.0,194.5,205.5,40.2,41.4,39.0,202.0,203.33333,200.0,5.0,2.0,3.0,322.7,Dunning,NO,Forest,2.0,1.0,Carnivore,Omnivore,Insessorial,-34.97,2.65,-12.44,141.78,1718124.83,331.0,0.0,1000.0,1000.0,Forest,Carnivore,PL,No,Omnivore,True,True
AVIBASE-010B758B,13.96,13.93333,14.0,8.45,8.55,8.35,4.38,4.5,4.2,3.38,3.26667,3.55,15.16,15.0,15.4,71.8,71.33333,72.5,15.525,15.1,15.95,55.975,55.4,56.55,21.675,21.45,21.9,59.4,59.33333,59.5,5.0,2.0,3.0,11.3,Dunning,NO,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,14.27,28.65,21.37,-101.42,480233.44,11.4,1600.0,1900.0,3500.0,Woodland,Carnivore,CP,No,Invertivore,True,True
AVIBASE-0116C834,12.57143,12.95,12.06667,6.1,6.15,6.05,3.95,4.0,3.9,3.0,2.85,3.15,10.62857,10.575,10.7,106.64286,106.6,106.7,59.07143,58.85,59.36667,47.57143,47.75,47.33333,55.38571,55.225,55.6,44.64286,44.025,45.46667,7.0,3.0,4.0,18.3,Dunning,NO,Wetland,2.0,1.0,Carnivore,Invertivore,Aerial,-11.7,9.92,-0.47,15.5,4040980.58,18.025,0.0,1000.0,1000.0,Riverine,Carnivore,CP,No,Invertivore,True,True
AVIBASE-011A5D07,22.6,22.6,,14.2,14.2,,4.7,4.7,,6.5,6.5,,23.4,23.4,,90.5,90.5,,16.8,16.8,,73.7,73.7,,18.6,18.6,,73.5,73.5,,1.0,0.0,1.0,55.7,EltonTraits_Model,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-10.89,-10.67,-10.76,165.88,501.67,,0.0,550.0,550.0,Forest,Carnivore,,No,Invertivore,True,True
AVIBASE-011EB942,21.2,20.4,22.3,10.03333,10.4,9.86667,2.94,3.08,2.96667,5.33,5.36,5.26667,26.7,26.76,26.1,73.89,74.5,73.33333,12.025,12.3,11.0,60.2,57.2,62.0,16.65,17.7,15.1,26.3,26.4,25.66667,10.0,3.0,5.0,47.3,Dunning,NO,Wetland,2.0,1.0,Omnivore,Omnivore,Terrestrial,-3.85,15.79,7.83,-78.9,484181.36,47.5,0.0,1600.0,1600.0,Wetland,Omnivore,SP,No,Omnivore,True,True
AVIBASE-012084A9,29.9,,,21.95,,,8.05,,,11.8,,,19.05,,,87.5,,,18.35,,,69.15,,,21.15,,,65.0,,,,,,,MISSING,MISSING,MISSING,,,MISSING,MISSING,MISSING,,,,,,45.0,0.0,1700.0,1775.0,Forest,Carnivore,CV,No,Invertivore,True,True
AVIBASE-01280CF8,14.95,14.95,,8.7,8.7,,3.55,3.55,,4.2,4.2,,22.1,22.1,,57.1,57.1,,2.7,2.7,,54.4,54.4,,4.75,4.75,,42.9,42.9,,2.0,0.0,2.0,24.7,Updated_literature,NO,MISSING,1.0,1.0,Carnivore,Invertivore,Generalist,3.15,6.77,5.1,-76.34,12146.63,24.7,1300.0,900.0,2200.0,Forest,Carnivore,,No,Invertivore,True,True
AVIBASE-0133C47B,26.02,26.0375,25.95,13.725,14.2,13.25,5.79,6.025,4.85,8.17,8.1875,8.1,33.04,34.075,28.9,90.5,91.875,85.0,6.62,6.8625,5.65,83.88,85.0125,79.35,7.3,7.475,6.6,82.8,83.25,81.0,10.0,2.0,8.0,48.7,Updated_literature,NO,Woodland,2.0,1.0,Carnivore,Invertivore,Insessorial,-7.72,0.59,-3.54,39.51,158149.39,48.8,0.0,1800.0,1800.0,Forest,Carnivore,CP,No,Invertivore,True,True
AVIBASE-013420E1,15.9,16.16667,15.5,11.375,11.9,10.85,7.9,8.23333,7.4,9.28,9.5,8.95,23.34,23.3,23.4,79.2,81.0,76.5,14.225,14.65,13.8,64.775,66.85,62.7,17.975,17.9,18.05,63.6,66.33333,59.5,5.0,2.0,3.0,23.0,Dunning,NO,Shrubland,2.0,2.0,Herbivore,Granivore,Generalist,27.09,32.83,29.79,81.82,72468.84,23.0,2000.0,2600.0,4600.0,Shrubland,Herbivore,,No,Granivore,True,True
AVIBASE-0134A6D7,16.44,17.66667,14.6,11.375,11.7,11.05,8.42,8.33333,8.55,9.44,9.5,9.35,19.4,19.26667,19.6,97.3,100.0,93.25,27.575,30.0,25.15,69.05,70.0,68.1,28.5,30.0,27.0,69.4,70.66667,67.5,5.0,2.0,3.0,38.1,Inferred,YES,Forest,1.0,1.0,Herbivore,Granivore,Terrestrial,26.9,35.77,31.67,78.13,220959.72,33.25,1800.0,1565.0,3365.0,Forest,Herbivore,CP,No,Granivore,True,True
AVIBASE-0136C1F3,46.56667,49.7,42.4,22.55,24.5,21.95,5.81667,5.2,5.55,11.35,11.3,10.75,57.53333,59.6,58.1,167.16667,157.0,165.5,8.975,15.0,6.3,155.775,142.0,159.2,5.55,9.6,3.85,117.16667,103.0,109.5,6.0,2.0,1.0,875.7,Dunning,NO,Forest,2.0,1.0,Omnivore,Omnivore,Terrestrial,-47.29,-35.17,-42.53,171.38,41536.8,880.5,0.0,1500.0,1500.0,Forest,Omnivore,,Yes,Omnivore,True,True
AVIBASE-01391B1A,204.0,221.0,195.5,177.66667,192.0,170.5,45.36667,46.4,44.85,75.13333,78.3,73.55,74.7,83.8,70.15,431.66667,463.0,416.0,93.1,91.5,93.9,338.56667,371.5,322.1,21.63333,19.8,22.55,457.66667,484.0,444.5,3.0,2.0,1.0,2385.0,Dunning,NO,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,15.38,29.27,24.08,97.27,284350.69,2385.0,600.0,1200.0,1800.0,Forest,Herbivore,CV,No,Frugivore,True,True
AVIBASE-013B2B0B,47.425,49.3,48.0,21.375,20.0,22.3,13.3,12.2,13.3,15.9,15.2,16.3,127.375,115.5,115.0,492.75,500.0,483.0,171.75,185.0,145.0,321.0,315.0,338.0,34.8,37.0,30.0,195.5,191.0,178.0,4.0,1.0,1.0,2557.6,Dunning,NO,Wetland,3.0,1.0,Herbivore,Herbivore aquatic,Terrestrial,3.85,11.11,9.18,-74.71,91345.79,2345.66667,0.0,1200.0,1200.0,Wetland,Herbivore,,No,Herbivore terrestrial,True,True
AVIBASE-013E99A8,15.27778,14.825,15.64,7.95,7.7,8.2,3.88,3.86667,3.9,3.34,3.33333,3.35,19.61111,19.55,19.66,57.04444,57.65,56.56,10.8375,11.26667,10.58,46.4625,47.26667,45.98,18.875,19.23333,18.66,58.4,59.3,57.68,9.0,5.0,4.0,11.0,Dunning,NO,Shrubland,2.0,1.0,Carnivore,Invertivore,Insessorial,-33.09,-16.45,-23.86,-61.94,946873.17,11.03333,,,1000.0,Woodland,Carnivore,CP,No,Invertivore,True,True
