avibase_id,beak_culmen,beak_culmen_m,beak_culmen_f,beak_nares,beak_nares_m,beak_nares_f,beak_width,beak_width_m,beak_width_f,beak_depth,beak_depth_m,beak_depth_f,tarsus,tarsus_m,tarsus_f,wing_len,wing_len_m,wing_len_f,kipps,kipps_m,kipps_f,secondary,secondary_m,secondary_f,hand_wing_index,hand_wing_index_m,hand_wing_index_f,tail_len,tail_len_m,tail_len_f,sample_size,sample_size_f,sample_size_m,mass,mass_source,inference,habitat,habitat_density,migration,primary_diet,trophic_niche,lifestyle,lat_min,lat_max,lat_centroid,lon_centroid,range_size,mass_BB,elevation_min_BB,elevation_range_BB,elevation_max_BB,habitat_BB,primary_diet_BB,nest_type_BB,flightless_BB,trophic_niche_BB,in_avonet,in_birdbase
AVIBASE-FC3D07C6,22.84,22.55,23.03333,11.5,11.6,11.46667,9.06,8.95,9.13333,10.8,11.4,10.4,35.56,38.8,33.4,195.6,201.0,192.0,75.7,74.5,76.1,118.3,125.5,115.9,39.0,37.3,39.56667,108.8,124.0,98.66667,5.0,3.0,2.0,566.9,Dunning,NO,Grassland,3.0,1.0,Herbivore,Herbivore terrestrial,Terrestrial,44.58,77.73,62.32,35.69,24300173.65,595.41667,0.0,1980.0,1980.0,Grassland,Herbivore,SC,No,Herbivore terrestrial,True,True
AVIBASE-FC3DC0F1,30.54,30.6,30.2,21.84286,21.93333,21.3,5.3125,5.31667,5.5,6.1,6.1,6.1,21.4125,20.61667,20.4,96.575,98.1,95.0,22.5,22.48333,22.6,75.18571,75.63333,72.5,22.98571,22.85,23.8,85.4,85.66667,84.0,8.0,1.0,6.0,31.2,Dunning,NO,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-12.11,-0.58,-5.58,-51.77,993444.47,31.6,0.0,500.0,500.0,Forest,Carnivore,CV,No,Invertivore,True,True
AVIBASE-FC472EB7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grassland,,,Yes,,False,True
AVIBASE-FC4D40D2,28.25455,27.45,28.43333,14.93,13.4,15.3125,8.77273,8.65,8.8,12.46667,11.85,12.775,40.10909,37.25,40.74444,280.7,271.0,283.125,115.54,120.5,114.3,165.16,150.5,168.825,41.18,44.45,40.3625,137.0,123.5,140.375,11.0,9.0,2.0,296.6,Dunning,NO,Forest,2.0,2.0,Carnivore,Vertivore,Aerial,27.64,70.53,50.73,26.52,27618929.92,296.33333,0.0,2750.0,2750.0,Grassland,Carnivore,"CV,O",No,Vertivore,True,True
AVIBASE-FC54497E,11.64444,11.78,11.475,8.175,8.45,7.9,5.48889,5.54,5.425,6.38889,6.46,6.3,13.875,13.95,13.8,50.88889,51.8,49.75,10.7,11.05,10.35,39.55,39.95,39.15,21.3,21.65,20.95,43.61111,46.1,40.5,9.0,4.0,5.0,11.1,Dunning,NO,Wetland,3.0,1.0,Herbivore,Granivore,Terrestrial,-26.85,-10.69,-17.7,127.54,1106611.4,11.18333,0.0,1000.0,1000.0,Riverine,Herbivore,SP,No,Granivore,True,True
AVIBASE-FC57A59E,19.55,20.23333,18.18333,8.46667,9.3,6.8,5.73889,5.74167,5.73333,4.15294,4.17273,4.11667,18.61,19.1,16.65,87.11111,88.66667,84.0,15.33333,15.525,13.8,72.0,72.1,71.2,17.53333,17.7,16.2,79.88889,80.0,79.66667,18.0,6.0,12.0,13.5,Updated_literature,NO,Woodland,2.0,2.0,Carnivore,Invertivore,Insessorial,-20.7,-7.37,-16.21,132.7,1125140.54,13.5,0.0,,,Riverine,Carnivore,CP,No,Invertivore,True,True
AVIBASE-FC6A9CD0,10.86,11.03333,10.6,8.325,8.65,8.0,6.34,6.26667,6.45,7.28,7.3,7.25,14.92,15.03333,14.75,53.6,53.33333,54.0,12.65,12.65,12.65,40.85,40.35,41.35,23.65,23.9,23.4,47.8,48.33333,47.0,5.0,2.0,3.0,12.0,Dunning,NO,Grassland,3.0,1.0,Herbivore,Granivore,Terrestrial,-7.38,23.24,12.33,20.25,3802160.03,12.0,0.0,2000.0,2000.0,Grassland,Herbivore,SP,No,Granivore,True,True
AVIBASE-FC6AF842,14.62,15.03333,14.0,9.25,9.15,9.35,3.4,3.33333,3.5,4.14,4.16667,4.1,24.44,24.33333,24.6,71.4,72.33333,70.0,11.425,11.45,11.4,59.075,59.55,58.6,16.225,16.15,16.3,67.8,70.0,64.5,5.0,2.0,3.0,15.3,EltonTraits_GenAvg,NO,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,-11.0,-8.33,-9.32,125.01,30091.32,,0.0,1200.0,1200.0,Forest,Carnivore,CV,No,Invertivore,True,True
AVIBASE-FC6C191F,15.625,15.975,15.275,10.325,10.65,10.0,5.525,5.65,5.4,7.45,7.7,7.2,18.5125,19.4,17.625,68.25,69.625,66.875,12.875,12.5,13.25,55.375,57.125,53.625,18.825,17.85,19.8,47.9375,50.125,45.75,8.0,4.0,4.0,20.0,Dunning,NO,Shrubland,3.0,1.0,Herbivore,Granivore,Insessorial,-9.37,18.61,8.66,18.35,4213194.47,20.0,0.0,1800.0,1800.0,Grassland,Omnivore,SP,No,Omnivore,True,True
AVIBASE-FC70352C,74.95,78.25,71.65,68.75,72.45,65.05,20.8,21.15,20.45,27.575,27.7,27.45,28.9,29.05,28.75,117.25,117.85,116.65,22.6,21.95,23.25,94.675,95.9,93.45,19.3,18.65,19.95,122.2,123.65,120.75,4.0,2.0,2.0,142.0,DataFromSplit,NO,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-16.03,-2.05,-9.29,-58.32,1348097.53,145.0,0.0,550.0,550.0,Forest,Herbivore,,No,Frugivore,True,True
AVIBASE-FC79EB47,19.76923,19.89167,18.3,13.65,13.74545,12.6,4.65385,4.69167,4.2,5.36923,5.35833,5.5,24.75385,24.775,24.5,103.36364,104.5,99.5,27.66667,28.59375,24.7,75.80952,76.125,74.8,26.7381,27.34375,24.8,62.0,62.08333,61.0,,,,,MISSING,MISSING,MISSING,,,MISSING,MISSING,MISSING,,,,,,41.16667,0.0,2300.0,2300.0,Grassland,Omnivore,SC,No,Omnivore,True,True
AVIBASE-FC7AB945,22.62,22.8,21.9,18.2,18.1,18.5,12.98,13.225,12.0,22.16,22.275,21.7,18.96,19.45,17.0,154.4,155.0,152.0,61.0,60.66667,62.0,91.25,91.66667,90.0,40.05,39.8,40.8,166.2,166.0,167.0,5.0,1.0,4.0,130.0,Dunning,NO,Forest,1.0,1.0,Herbivore,Omnivore,Insessorial,-22.2,-20.33,-21.43,165.66,826.21,140.66667,,,1500.0,Forest,Herbivore,CV,No,Omnivore,True,True
AVIBASE-FC8137F0,19.45,20.05,20.4,12.64286,12.67528,12.62154,5.54469,5.52917,5.59265,5.88704,5.92209,5.85574,34.82429,34.75789,34.81324,79.47333,79.8134,78.82059,12.42,11.1,12.0,69.2,70.06667,67.0,15.28,13.9,15.2,32.13446,32.32708,31.88955,180.0,68.0,97.0,43.0,Dunning,NO,Forest,1.0,1.0,Carnivore,Invertivore,Terrestrial,0.44,15.88,8.41,-79.57,279909.57,43.375,0.0,1250.0,1250.0,Forest,Carnivore,"O,PL",No,Invertivore,True,True
