eBird species code 2019,Com_name,Sci_name,Subspecies,Illustration_id,Credit,Sex,Age,Morph,Order,Family,Group,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12,color13,color14,color15,color16,color17,color18,color19,color20,color21,color22,color23,color24
batnig1,Band-tailed Nighthawk,Nyctiprogne leucopyga,nominate,152836921,Dave Nurney,Monomorphic,Not specified,None,Caprimulgiformes,Caprimulgidae ,Nightjars and Allies,0.044,0.017,0.025,0.045,0,0.007,0.013,0.032,0.005,0.006,0.008,0,0.013,0.169,0.028,0.149,0.085,0.024,0.005,0,0.174,0,0.026,0.125
bahnig1,Bahian Nighthawk,Nyctiprogne vielliardi,nominate,153376291,Dave Nurney,Male,Not specified,None,Caprimulgiformes,Caprimulgidae ,Nightjars and Allies,0.065,0.01,0.006,0.027,0,0,0.017,0.008,0.001,0.017,0.003,0,0.014,0.17,0.01,0.212,0.077,0.006,0.057,0,0.225,0,0.011,0.064
rbbeat1,Red-bearded Bee-eater,Nyctyornis amictus,nominate,151474901,Chris Rose,Male,Not specified,None,Coraciiformes,Meropidae ,Bee-eaters,0.21,0.022,0.016,0.017,0.007,0.003,0.004,0.021,0.004,0.023,0.025,0,0.007,0.122,0.024,0.059,0.016,0.02,0.056,0.001,0.057,0.212,0.015,0.059
bbbeat1,Blue-bearded Bee-eater,Nyctyornis athertoni,nominate,151474941,Chris Rose,Monomorphic,Not specified,None,Coraciiformes,Meropidae ,Bee-eaters,0.153,0.019,0.011,0.072,0.033,0.002,0.007,0.009,0.01,0.029,0.012,0.001,0.004,0.122,0.031,0.045,0.002,0.009,0.004,0.01,0.022,0.333,0.025,0.035
cockat,Cockatiel,Nymphicus hollandicus,nominate,151441541,Ian Lewington,Female,Not specified,None,Psittaciformes,Cacatuidae ,Cockatoos,0.069,0.043,0.125,0.023,0,0.006,0.036,0.079,0.003,0.006,0.009,0,0.029,0.234,0.017,0.008,0.006,0.137,0,0,0.036,0.003,0.057,0.074
cockat,Cockatiel,Nymphicus hollandicus,nominate,151441561,Ian Lewington,Male,Not specified,None,Psittaciformes,Cacatuidae ,Cockatoos,0.001,0.044,0.126,0.003,0,0.011,0.066,0.084,0.016,0.005,0.005,0.042,0.04,0.229,0.003,0,0.002,0.131,0,0,0.036,0.001,0.08,0.075
whepuf1,White-eared Puffbird,Nystalus chacuru,nominate,151467991,Hilary Burn,Monomorphic,Not specified,None,Galbuliformes,Bucconidae ,Puffbirds,0.047,0.038,0.047,0.045,0,0.015,0.145,0.027,0.003,0.047,0.021,0,0.062,0.159,0.025,0.059,0.072,0.036,0.013,0,0.056,0,0.026,0.057
spbpuf1,Spot-backed Puffbird,Nystalus maculatus,nominate,151468001,Hilary Burn,Monomorphic,Not specified,None,Galbuliformes,Bucconidae ,Puffbirds,0.037,0.051,0.041,0.035,0,0.059,0.083,0.03,0.035,0.018,0.053,0.002,0.08,0.145,0.019,0.044,0.06,0.03,0.008,0,0.073,0,0.029,0.068
spbpuf1,Spot-backed Puffbird,Nystalus maculatus,striatipectus,151468011,Hilary Burn,Monomorphic,Not specified,None,Galbuliformes,Bucconidae ,Puffbirds,0.051,0.042,0.032,0.027,0,0.034,0.107,0.039,0.015,0.008,0.049,0,0.058,0.193,0.019,0.063,0.041,0.036,0.005,0,0.073,0,0.034,0.074
wespuf1,Western Striolated-Puffbird,Nystalus obamai,nominate,151467981,Hilary Burn,Monomorphic,Not specified,None,Galbuliformes,Bucconidae ,Puffbirds,0.019,0.091,0.113,0.035,0,0.024,0.056,0.051,0.001,0,0.03,0,0.078,0.088,0.05,0,0.024,0.092,0,0,0.079,0,0.069,0.1
barpuf1,Barred Puffbird,Nystalus radiatus,nominate,151467941,Hilary Burn,Monomorphic,Not specified,rufous morph,Galbuliformes,Bucconidae ,Puffbirds,0.041,0.021,0.026,0.036,0,0.115,0.025,0.014,0.036,0.077,0.093,0,0.03,0.121,0.061,0.053,0.049,0.027,0.029,0,0.075,0,0.024,0.047
barpuf1,Barred Puffbird,Nystalus radiatus,nominate,151467951,Hilary Burn,Monomorphic,Not specified,typical,Galbuliformes,Bucconidae ,Puffbirds,0.034,0.039,0.037,0.034,0,0.091,0.083,0.026,0.024,0.026,0.089,0,0.043,0.144,0.053,0.039,0.058,0.025,0.009,0,0.056,0,0.037,0.053
strpuf1,Eastern Striolated-Puffbird,Nystalus striolatus,nominate,151467961,Hilary Burn,Monomorphic,Not specified,None,Galbuliformes,Bucconidae ,Puffbirds,0.051,0.035,0.033,0.037,0,0.125,0.068,0.024,0.012,0.003,0.101,0.001,0.035,0.115,0.057,0.055,0.043,0.032,0,0,0.075,0.001,0.03,0.067
