eBird species code 2019,Com_name,Sci_name,Subspecies,Illustration_id,Credit,Sex,Age,Morph,Order,Family,Group,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12,color13,color14,color15,color16,color17,color18,color19,color20,color21,color22,color23,color24
emchum1,Emerald-chinned Hummingbird,Abeillia abeillei,nominate,153365741,Hilary Burn,Female,Not specified,None,Caprimulgiformes,Trochilidae ,Hummingbirds,0.092,0.022,0.094,0.039,0,0,0.024,0.029,0.048,0.003,0.01,0.011,0.02,0.153,0.046,0.059,0.032,0.058,0,0,0.036,0.109,0.02,0.095
emchum1,Emerald-chinned Hummingbird,Abeillia abeillei,nominate,153365751,Hilary Burn,Male,Not specified,None,Caprimulgiformes,Trochilidae ,Hummingbirds,0.08,0.01,0.089,0.022,0,0.001,0.007,0.029,0.068,0,0.004,0.011,0.002,0.136,0.014,0.059,0.073,0.045,0,0,0.096,0.123,0.012,0.119
rufwar1,Rufous-faced Warbler,Abroscopus albogularis,nominate,153115771,Jan Wilczur,Monomorphic,Not specified,None,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.056,0.035,0.062,0.053,0,0.035,0.068,0.024,0.029,0.035,0.011,0.054,0.045,0.146,0.039,0.029,0.017,0.026,0.001,0,0.035,0.114,0.025,0.061
rufwar1,Rufous-faced Warbler,Abroscopus albogularis,fulvifacies,207319811,Jan Wilczur,Monomorphic,Not specified,None,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.059,0.034,0.058,0.045,0,0.026,0.119,0.027,0.025,0.038,0.023,0.008,0.062,0.158,0.043,0.027,0.013,0.028,0.012,0,0.042,0.082,0.026,0.045
blfwar1,Black-faced Warbler,Abroscopus schisticeps,nominate,153502221,Jan Wilczur,Monomorphic,Not specified,None,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.073,0.049,0.054,0.049,0,0.021,0.046,0.027,0.028,0,0.016,0.094,0.039,0.198,0.02,0.023,0.036,0.038,0,0,0.035,0.072,0.027,0.055
blfwar1,Black-faced Warbler,Abroscopus schisticeps,ripponi,207319851,Jan Wilczur,Monomorphic,Not specified,None,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.089,0.047,0.048,0.069,0,0.028,0.069,0.041,0.013,0,0.02,0.034,0.048,0.159,0.027,0.03,0.027,0.06,0,0,0.039,0.057,0.043,0.052
yebwar1,Yellow-bellied Warbler,Abroscopus superciliaris,nominate,153115741,Jan Wilczur,Monomorphic,Not specified,None,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.05,0.082,0.023,0.08,0,0.029,0.067,0.038,0.032,0,0.019,0.125,0.055,0.186,0.042,0.015,0.004,0.052,0,0,0.009,0.03,0.045,0.017
yebwar1,Yellow-bellied Warbler,Abroscopus superciliaris,vordermani,153502111,Jan Wilczur,Monomorphic,Not specified,None,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.087,0.068,0.047,0.038,0,0.033,0.039,0.028,0.028,0,0.023,0.143,0.075,0.174,0.029,0.024,0.01,0.031,0,0,0.028,0.017,0.04,0.038
yebwar1,Yellow-bellied Warbler,Abroscopus superciliaris,euthymus,207319771,Jan Wilczur,Monomorphic,Not specified,None,Passeriformes,Scotocercidae ,Bush Warblers and Allies,0.111,0.035,0.018,0.054,0,0.019,0.042,0.016,0.05,0,0.015,0.189,0.04,0.194,0.015,0.042,0.01,0.021,0,0,0.04,0.017,0.041,0.031
watgua1,Wattled Guan,Aburria aburri,nominate,151457891,Francesc Jutglar,Monomorphic,Not specified,None,Galliformes,Cracidae ,"Guans, Chachalacas, and Curassows",0.007,0.007,0.049,0.001,0.001,0.007,0.009,0.006,0.007,0.006,0.013,0,0.006,0.123,0,0.008,0.28,0.02,0.001,0.001,0.321,0,0.004,0.123
spchon1,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,nominate,153453301,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Meliphagidae ,Honeyeaters,0.014,0.1,0.038,0.015,0,0.039,0.093,0.057,0,0.002,0.014,0,0.08,0.214,0.029,0.007,0.042,0.064,0,0,0.07,0,0.066,0.056
pebfin1,Peg-billed Finch,Acanthidops bairdi,nominate,153328251,Brian Small,Male,Not specified,None,Passeriformes,Thraupidae ,Tanagers and Allies,0.001,0.021,0.102,0.001,0,0,0.048,0.256,0,0,0.001,0,0.046,0.127,0.005,0.004,0.012,0.232,0,0,0.033,0,0.06,0.051
pebfin1,Peg-billed Finch,Acanthidops bairdi,nominate,153724581,Brian Small,Female,Not specified,None,Passeriformes,Thraupidae ,Tanagers and Allies,0.07,0.034,0.037,0.076,0,0.007,0.022,0.121,0.001,0,0.062,0,0.037,0.136,0.125,0.031,0.02,0.099,0,0,0.03,0,0.057,0.035
lesred1,Lesser Redpoll,Acanthis cabaret,nominate,153701391,Hilary Burn,Female,Not specified,None,Passeriformes,Fringillidae ,"Finches, Euphonias, and Allies",0.013,0.094,0.091,0.019,0,0.012,0.094,0.078,0,0.001,0.027,0,0.124,0.162,0.024,0.014,0.019,0.065,0,0,0.026,0,0.078,0.059
lesred1,Lesser Redpoll,Acanthis cabaret,nominate,153701401,Hilary Burn,Male,Not specified,None,Passeriformes,Fringillidae ,"Finches, Euphonias, and Allies",0.032,0.064,0.077,0.034,0,0.035,0.046,0.073,0,0.001,0.055,0,0.072,0.143,0.062,0.023,0.024,0.054,0.006,0,0.055,0,0.083,0.061
comred,Common Redpoll,Acanthis flammea,nominate,153701411,Hilary Burn,Female,Not specified,None,Passeriformes,Fringillidae ,"Finches, Euphonias, and Allies",0.007,0.076,0.096,0.005,0,0.001,0.083,0.092,0.001,0.001,0.002,0,0.089,0.172,0.003,0.005,0.017,0.097,0.006,0,0.057,0,0.094,0.096
comred,Common Redpoll,Acanthis flammea,nominate,153701431,Hilary Burn,Male,Not specified,None,Passeriformes,Fringillidae ,"Finches, Euphonias, and Allies",0.019,0.1,0.075,0.014,0,0.005,0.073,0.081,0,0,0.014,0,0.106,0.128,0.007,0.014,0.026,0.087,0.006,0,0.064,0,0.087,0.094
hoared,Hoary Redpoll,Acanthis hornemanni,nominate,153701441,Hilary Burn,Female,Not specified,None,Passeriformes,Fringillidae ,"Finches, Euphonias, and Allies",0.004,0.08,0.052,0.001,0,0.001,0.132,0.074,0,0.002,0.001,0,0.122,0.258,0.001,0.004,0.013,0.067,0.003,0,0.036,0,0.077,0.072
hoared,Hoary Redpoll,Acanthis hornemanni,nominate,153701451,Hilary Burn,Male,Not specified,None,Passeriformes,Fringillidae ,"Finches, Euphonias, and Allies",0.005,0.089,0.068,0.001,0,0,0.115,0.084,0.003,0,0.002,0,0.108,0.184,0.002,0.006,0.029,0.087,0.006,0,0.057,0,0.074,0.08
riflem1,Rifleman,Acanthisitta chloris,nominate,153406241,Brian Small,Female,Not specified,None,Passeriformes,Acanthisittidae ,New Zealand Wrens,0.038,0.037,0.03,0.036,0,0.027,0.097,0.026,0.002,0,0.021,0,0.042,0.252,0.014,0.021,0.078,0.03,0,0,0.147,0.003,0.034,0.065
riflem1,Rifleman,Acanthisitta chloris,nominate,153406251,Brian Small,Male,Not specified,None,Passeriformes,Acanthisittidae ,New Zealand Wrens,0.076,0.035,0.043,0.022,0,0.027,0.091,0.028,0.015,0,0.028,0.002,0.038,0.212,0.013,0.023,0.11,0.027,0,0,0.06,0.055,0.036,0.059
inltho1,Inland Thornbill,Acanthiza apicalis,nominate,153455621,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.016,0.066,0.048,0.029,0,0.013,0.144,0.063,0.008,0.001,0.048,0,0.057,0.267,0.081,0.002,0.005,0.059,0.001,0,0.006,0,0.077,0.009
yertho1,Yellow-rumped Thornbill,Acanthiza chrysorrhoa,nominate,153455561,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.002,0.045,0.034,0.002,0,0.049,0.208,0.085,0.007,0,0.005,0.027,0.057,0.246,0.014,0.001,0.018,0.032,0,0,0.032,0.001,0.094,0.041
mouger1,Gray Thornbill,Acanthiza cinerea,nominate,153045351,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0,0.055,0.067,0,0,0,0.105,0.131,0,0,0.001,0,0.084,0.321,0,0.001,0.004,0.083,0,0,0.002,0,0.139,0.007
tastho1,Tasmanian Thornbill,Acanthiza ewingii,nominate,153455641,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.043,0.072,0.027,0.081,0,0.061,0.095,0.021,0.005,0.001,0.039,0,0.078,0.194,0.187,0.015,0.004,0.015,0,0,0.009,0,0.037,0.016
westho1,Western Thornbill,Acanthiza inornata,nominate,153045541,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.002,0.089,0.024,0.007,0,0.016,0.116,0.109,0,0,0.018,0,0.137,0.201,0.007,0,0.004,0.059,0,0,0.011,0,0.176,0.024
slbtho2,Slender-billed Thornbill,Acanthiza iredalei,nominate,153045481,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0,0.132,0.033,0,0,0.006,0.256,0.103,0,0,0.002,0,0.069,0.217,0,0,0.003,0.066,0,0,0.008,0,0.09,0.015
moutho1,Mountain Thornbill,Acanthiza katherina,nominate,153045461,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.012,0.043,0.011,0.044,0,0.081,0.185,0.017,0,0,0.151,0,0.041,0.168,0.179,0.003,0,0.013,0,0,0.002,0,0.047,0.003
strtho1,Striated Thornbill,Acanthiza lineata,nominate,153045421,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.012,0.068,0.053,0.039,0,0.093,0.095,0.089,0,0,0.054,0,0.047,0.184,0.082,0,0.006,0.07,0,0,0.027,0,0.04,0.041
paptho1,Papuan Thornbill,Acanthiza murina,nominate,153045381,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.036,0.073,0.022,0.044,0,0.041,0.193,0.045,0,0,0.048,0,0.1,0.133,0.124,0.012,0.013,0.04,0,0,0.004,0,0.056,0.016
yeltho1,Yellow Thornbill,Acanthiza nana,nominate,153045411,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.052,0.011,0.025,0.084,0,0.092,0.004,0.025,0.107,0.003,0.049,0.162,0.008,0.139,0.065,0.021,0.003,0.024,0,0,0.017,0.055,0.024,0.03
yeltho1,Yellow Thornbill,Acanthiza nana,flava,153455591,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.031,0.01,0.035,0.034,0,0.027,0.014,0.017,0.154,0,0.01,0.34,0.005,0.153,0.048,0.012,0.004,0.013,0,0,0.01,0.019,0.017,0.047
brotho1,Brown Thornbill,Acanthiza pusilla,nominate,153455661,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.013,0.056,0.012,0.036,0,0.116,0.109,0.069,0.014,0.001,0.066,0,0.043,0.137,0.165,0.003,0.005,0.029,0,0,0.005,0,0.107,0.014
burtho1,Buff-rumped Thornbill,Acanthiza reguloides,nominate,153455731,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.006,0.064,0.035,0.007,0,0.161,0.164,0.069,0,0,0.045,0,0.045,0.174,0.056,0,0.008,0.058,0,0,0.022,0,0.073,0.013
burtho1,Buff-rumped Thornbill,Acanthiza reguloides,squamata,153455751,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.004,0.036,0.044,0.023,0,0.28,0.022,0.04,0.001,0,0.047,0.066,0.034,0.128,0.127,0,0.008,0.081,0,0,0.01,0,0.029,0.02
slbtho1,Slaty-backed Thornbill,Acanthiza robustirostris,nominate,153045471,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.002,0.063,0.037,0.002,0,0.001,0.116,0.12,0.017,0.003,0.011,0.001,0.113,0.315,0.004,0.001,0.01,0.055,0,0,0.008,0,0.105,0.016
chrtho1,Chestnut-rumped Thornbill,Acanthiza uropygialis,nominate,153455721,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.001,0.07,0.021,0.005,0,0.008,0.141,0.066,0.001,0.021,0.023,0,0.054,0.334,0.041,0.002,0.011,0.052,0,0,0.019,0,0.108,0.022
wesspi1,Western Spinebill,Acanthorhynchus superciliosus,nominate,153452231,Jan Wilczur,Female,Not specified,None,Passeriformes,Meliphagidae ,Honeyeaters,0.06,0.072,0.04,0.065,0,0.077,0.063,0.053,0,0.002,0.06,0,0.143,0.193,0.038,0.009,0.005,0.06,0,0,0.004,0,0.044,0.012
wesspi1,Western Spinebill,Acanthorhynchus superciliosus,nominate,153452251,Jan Wilczur,Male,Not specified,None,Passeriformes,Meliphagidae ,Honeyeaters,0.004,0.076,0.057,0.014,0,0.002,0.082,0.081,0.001,0.032,0.006,0,0.134,0.186,0.007,0.012,0.032,0.104,0.058,0,0.027,0,0.057,0.028
easspi1,Eastern Spinebill,Acanthorhynchus tenuirostris,nominate,153042731,Jan Wilczur,Male,Not specified,None,Passeriformes,Meliphagidae ,Honeyeaters,0.007,0.075,0.042,0.036,0,0.058,0.066,0.074,0.006,0.002,0.086,0,0.066,0.193,0.02,0.007,0.069,0.049,0.006,0,0.03,0,0.075,0.033
scrubt2,Scrubtit,Acanthornis magna,nominate,153045281,Tim Worfolk,Monomorphic,Not specified,None,Passeriformes,Acanthizidae ,Thornbills and Allies,0.034,0.093,0.058,0.15,0,0.002,0.084,0.027,0,0,0.016,0,0.074,0.181,0.105,0.004,0.027,0.023,0,0,0.016,0,0.056,0.05
piegos1,Pied Goshawk,Accipiter albogularis,nominate,151485181,Norman Arlott,Monomorphic,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.007,0.024,0.151,0.008,0,0.001,0.099,0.003,0.004,0.004,0.002,0.003,0.097,0.179,0.011,0.002,0,0.014,0,0,0.082,0.001,0.011,0.297
piegos1,Pied Goshawk,Accipiter albogularis,eichhorni,151485191,Norman Arlott,Monomorphic,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.004,0.019,0.215,0.006,0,0.004,0.116,0.067,0.007,0.013,0.008,0.001,0.076,0.185,0.005,0.005,0,0.16,0.017,0,0.013,0,0.018,0.061
piegos1,Pied Goshawk,Accipiter albogularis,woodfordi,151485201,Norman Arlott,Monomorphic,Not specified,melanistic morph,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.002,0.006,0.076,0.006,0,0.006,0.01,0.009,0.011,0.005,0.003,0.002,0.006,0.166,0.003,0.002,0.002,0.019,0,0,0.189,0.002,0.011,0.464
piegos1,Pied Goshawk,Accipiter albogularis,nominate,153004521,Juan Varela,Monomorphic,Juvenile,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.091,0.041,0,0.146,0,0.063,0.064,0.003,0.007,0.089,0.059,0.011,0.049,0.138,0.079,0.089,0,0.001,0.051,0,0,0,0.017,0.002
shikra1,Shikra,Accipiter badius,nominate,151484671,Ian Lewington,Male,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.001,0.257,0.019,0.003,0,0.031,0.094,0.061,0.006,0.004,0.027,0,0.124,0.158,0.019,0,0,0.034,0.003,0,0.004,0,0.151,0.004
shikra1,Shikra,Accipiter badius,nominate,153347541,Ian Lewington,Female,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.007,0.127,0.04,0.023,0,0.016,0.086,0.174,0.002,0.003,0.007,0.003,0.037,0.133,0.025,0.012,0.002,0.087,0.001,0,0.007,0,0.189,0.019
shikra1,Shikra,Accipiter badius,nominate,153405141,Juan Varela,Monomorphic,Juvenile,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.149,0.063,0.017,0.138,0,0.02,0.099,0.036,0,0,0.024,0,0.074,0.173,0.08,0.052,0,0.023,0,0,0.001,0,0.038,0.013
bichaw1,Bicolored Hawk,Accipiter bicolor,nominate,151485711,Ian Willis,Monomorphic,Not specified,dark morph,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.038,0.014,0.048,0.013,0,0.023,0.018,0.125,0.004,0.007,0.01,0.004,0.012,0.211,0.008,0.067,0.009,0.073,0.04,0,0.067,0,0.146,0.063
bichaw1,Bicolored Hawk,Accipiter bicolor,nominate,151485741,Ian Willis,Monomorphic,Not specified,pale morph,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.073,0.067,0.038,0.027,0,0.021,0.084,0.029,0.004,0.016,0.01,0.001,0.095,0.228,0.014,0.067,0.016,0.021,0.014,0,0.045,0,0.075,0.055
bichaw1,Bicolored Hawk,Accipiter bicolor,guttifer,151485761,Ian Willis,Monomorphic,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.077,0.016,0.025,0.126,0,0.026,0.03,0.055,0.005,0.025,0.045,0.002,0.018,0.233,0.094,0.043,0.007,0.045,0.041,0,0.026,0,0.033,0.028
bichaw1,Bicolored Hawk,Accipiter bicolor,chilensis,151485771,Ian Willis,Monomorphic,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.135,0.055,0.014,0.105,0,0.027,0.052,0.029,0.013,0.028,0.033,0.002,0.041,0.192,0.038,0.085,0.002,0.027,0.024,0,0.02,0,0.023,0.055
nebspa1,New Britain Sparrowhawk,Accipiter brachyurus,nominate,151485411,Alan Harris,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.01,0.064,0.096,0.014,0,0.009,0.117,0.114,0.005,0.006,0.018,0.008,0.045,0.197,0.014,0.007,0.005,0.135,0.013,0,0.006,0,0.096,0.021
nebspa1,New Britain Sparrowhawk,Accipiter brachyurus,nominate,153402981,Juan Varela,Monomorphic,Juvenile,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.075,0.03,0.005,0.109,0,0.049,0.087,0.016,0.049,0.065,0.101,0.013,0.054,0.156,0.102,0.052,0,0.001,0.006,0,0,0,0.023,0.007
levspa1,Levant Sparrowhawk,Accipiter brevipes,nominate,151484741,Ian Lewington,Female,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.011,0.061,0.064,0.017,0,0.013,0.066,0.195,0,0.002,0.013,0,0.033,0.134,0.015,0.005,0.001,0.096,0,0,0.022,0,0.217,0.035
levspa1,Levant Sparrowhawk,Accipiter brevipes,nominate,151484761,Ian Lewington,Male,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0,0.193,0.04,0.008,0.01,0.058,0.065,0.065,0.01,0.01,0.042,0,0.046,0.134,0.021,0,0,0.035,0,0,0.015,0,0.218,0.03
nicspa1,Nicobar Sparrowhawk,Accipiter butleri,nominate,151484721,Ian Lewington,Monomorphic,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.001,0.281,0.017,0.001,0.026,0.024,0.12,0.044,0,0,0.02,0,0.13,0.15,0.005,0,0,0.027,0,0,0.004,0,0.14,0.01
chfspa1,Chestnut-flanked Sparrowhawk,Accipiter castanilius,nominate,151484651,Ian Lewington,Monomorphic,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.004,0.02,0.13,0.005,0.002,0.01,0.064,0.166,0.006,0.06,0.016,0,0.024,0.155,0.006,0.007,0.001,0.14,0.065,0,0.027,0,0.035,0.057
colspa1,Collared Sparrowhawk,Accipiter cirrocephalus,nominate,151485401,Alan Harris,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.007,0.048,0.099,0.019,0,0.039,0.027,0.109,0.031,0.015,0.076,0.012,0.039,0.175,0.039,0,0,0.116,0.001,0,0.004,0,0.094,0.05
colspa1,Collared Sparrowhawk,Accipiter cirrocephalus,papuanus,153003291,Francesc Jutglar,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.009,0.023,0.145,0.023,0,0.014,0.034,0.06,0.008,0.092,0.041,0.008,0.023,0.163,0.079,0.001,0,0.136,0.001,0,0.003,0,0.012,0.125
colspa1,Collared Sparrowhawk,Accipiter cirrocephalus,papuanus,153004581,Juan Varela,Monomorphic,Juvenile,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.032,0.04,0.03,0.135,0,0.069,0.084,0.04,0.003,0,0.084,0.01,0.09,0.123,0.195,0,0,0.021,0,0,0,0,0.041,0.003
semhaw2,Semicollared Hawk,Accipiter collaris,nominate,151485901,Alan Harris,Monomorphic,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.052,0.038,0.126,0.012,0,0.003,0.037,0.071,0.01,0.001,0.006,0.005,0.039,0.182,0.004,0.027,0.003,0.087,0.001,0,0.082,0,0.042,0.172
coohaw,Cooper's Hawk,Accipiter cooperii,nominate,151485671,Ian Willis,Female,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.018,0.052,0.025,0.012,0,0.09,0.077,0.116,0.012,0.03,0.109,0.006,0.069,0.156,0.043,0.01,0.009,0.054,0.015,0,0.011,0,0.065,0.021
coohaw,Cooper's Hawk,Accipiter cooperii,nominate,151485681,Ian Willis,Male,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.009,0.044,0.016,0.005,0,0.067,0.054,0.128,0.01,0.027,0.072,0.002,0.056,0.2,0.021,0.011,0.003,0.053,0.005,0,0.007,0,0.196,0.014
runspa1,Rufous-necked Sparrowhawk,Accipiter erythrauchen,ceramensis,151485381,Alan Harris,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.002,0.04,0.131,0,0,0.018,0.074,0.051,0.007,0.003,0.016,0.013,0.078,0.182,0.007,0.007,0.008,0.079,0.029,0,0.069,0.001,0.022,0.163
runspa1,Rufous-necked Sparrowhawk,Accipiter erythrauchen,nominate,151485391,Alan Harris,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.001,0.037,0.17,0.004,0,0.042,0.023,0.068,0.01,0.012,0.041,0.014,0.05,0.174,0.029,0.004,0,0.128,0.023,0,0.005,0,0.055,0.11
runspa1,Rufous-necked Sparrowhawk,Accipiter erythrauchen,nominate,153006341,Juan Varela,Monomorphic,Juvenile,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.056,0.082,0.003,0.082,0,0.031,0.107,0.049,0.002,0,0.078,0,0.087,0.151,0.173,0.009,0,0.017,0,0,0,0,0.071,0.002
retspa1,Red-thighed Sparrowhawk,Accipiter erythropus,nominate,151485301,Alan Harris,Monomorphic,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.001,0.055,0.189,0.002,0,0.001,0.028,0.029,0,0.01,0.006,0,0.03,0.177,0.003,0.003,0.003,0.057,0.018,0,0.158,0,0.035,0.195
brogos1,Brown Goshawk,Accipiter fasciatus,natalis,151485071,Norman Arlott,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.003,0.034,0.068,0.021,0,0.045,0.015,0.151,0.015,0.014,0.073,0.005,0.024,0.195,0.057,0,0,0.188,0,0,0.008,0,0.042,0.042
brogos1,Brown Goshawk,Accipiter fasciatus,nominate,151485091,Norman Arlott,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.086,0.015,0.091,0.05,0,0.013,0.014,0.023,0.013,0.042,0.026,0.003,0.016,0.156,0.027,0.133,0.001,0.039,0.043,0,0.022,0,0.017,0.17
brogos1,Brown Goshawk,Accipiter fasciatus,hellmayri,151485101,Norman Arlott,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.017,0.037,0.188,0.009,0,0.018,0.061,0.074,0.009,0.007,0.028,0.003,0.082,0.163,0.024,0.003,0,0.167,0.013,0,0.005,0.002,0.034,0.056
brogos1,Brown Goshawk,Accipiter fasciatus,wallacii,151485111,Norman Arlott,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.002,0.042,0.038,0.015,0,0.051,0.015,0.199,0.019,0.023,0.09,0.001,0.026,0.174,0.052,0,0,0.15,0.004,0,0.002,0.002,0.076,0.019
brogos1,Brown Goshawk,Accipiter fasciatus,polycryptus,153003281,Francesc Jutglar,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.001,0.043,0.081,0.013,0,0.029,0.028,0.131,0.01,0.025,0.125,0.002,0.034,0.181,0.049,0,0,0.176,0,0,0.001,0,0.051,0.02
brogos1,Brown Goshawk,Accipiter fasciatus,polycryptus,153402801,Juan Varela,Monomorphic,Juvenile,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.091,0.062,0.05,0.073,0,0.017,0.06,0.125,0.013,0,0.019,0.005,0.069,0.132,0.034,0.037,0,0.14,0,0,0.005,0,0.064,0.004
fragos2,Frances's Sparrowhawk,Accipiter francesiae,brutus,151484821,Norman Arlott,Female,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.028,0.018,0.018,0.027,0,0.017,0.017,0.01,0.012,0.029,0.066,0.008,0.026,0.215,0.024,0.15,0,0.002,0.034,0,0.069,0,0.007,0.223
fragos2,Frances's Sparrowhawk,Accipiter francesiae,brutus,151484841,Norman Arlott,Male,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.008,0.042,0.17,0.015,0,0.009,0.046,0.076,0.004,0.014,0.02,0.004,0.083,0.221,0.015,0,0.001,0.134,0.006,0,0.026,0,0.03,0.076
fragos2,Frances's Sparrowhawk,Accipiter francesiae,nominate,151484871,Norman Arlott,Female,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.031,0.044,0.052,0.015,0,0.007,0.031,0.02,0.008,0,0.011,0.009,0.067,0.2,0.015,0.061,0,0.015,0.001,0,0.126,0.001,0.04,0.246
fragos2,Frances's Sparrowhawk,Accipiter francesiae,nominate,151484881,Norman Arlott,Male,Not specified,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.004,0.055,0.108,0.007,0,0.002,0.07,0.035,0.009,0.003,0.009,0.003,0.102,0.182,0.008,0.002,0.002,0.062,0.001,0,0.071,0.001,0.036,0.228
norgos,Northern Goshawk,Accipiter gentilis,albidus,151485831,Ian Willis,Monomorphic,Adult,None,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.027,0.231,0.004,0.028,0,0.025,0.123,0.049,0.006,0.001,0.009,0.01,0.101,0.155,0.019,0.014,0.006,0.026,0.003,0,0.01,0.001,0.147,0.005
norgos,Northern Goshawk,Accipiter gentilis,albidus,151485841,Ian Willis,Monomorphic,Adult,white morph,Accipitriformes,Accipitridae ,"Hawks, Eagles, and Kites",0.005,0.046,0,0.003,0,0.016,0.511,0.011,0.005,0.001,0.012,0.004,0.153,0.177,0.004,0,0.002,0.003,0,0,0.007,0,0.035,0.005
